subject,condition,named,afc,whichSide,whichResp,whichItem,trial
1,2,0,1,0,0,118,1
1,4,1,1,1,1,161,2
1,3,1,1,0,0,107,3
1,1,0,1,1,1,3,4
1,3,0,1,1,1,177,5
1,2,1,1,1,1,181,6
1,1,0,1,0,0,86,7
1,4,1,1,1,1,124,8
1,2,0,1,1,1,115,9
1,4,1,1,1,1,100,10
1,4,1,1,0,0,163,11
1,3,1,1,1,1,179,12
1,1,0,0,0,1,6,13
1,3,1,1,0,0,64,14
1,2,0,1,0,0,184,15
1,1,1,0,1,0,29,16
1,2,1,1,1,1,189,17
1,2,0,1,1,1,111,18
1,3,1,1,1,1,102,19
1,4,0,1,0,0,183,20
1,4,0,1,0,0,137,21
1,1,1,1,0,0,37,22
1,1,0,0,1,0,85,23
1,3,1,1,0,0,166,24
1,4,0,1,1,1,185,25
1,3,0,0,1,0,110,26
1,2,1,1,1,1,125,27
1,4,1,1,0,0,28,28
1,1,1,0,1,0,25,29
1,2,1,1,1,1,19,30
1,3,1,1,1,1,129,31
1,1,1,1,0,0,112,32
1,4,1,1,1,1,192,33
1,2,1,1,1,1,31,34
1,3,1,1,1,1,66,35
1,2,0,1,0,0,52,36
1,3,0,1,1,1,30,37
1,4,1,1,0,0,126,38
1,1,1,1,0,0,61,39
1,1,0,0,1,0,147,40
1,3,1,1,0,0,69,41
1,3,1,1,0,0,95,42
1,4,1,1,0,0,133,43
1,2,0,1,1,1,26,44
1,1,1,1,0,0,121,45
1,1,1,0,1,0,146,46
1,4,0,1,0,0,167,47
1,2,0,1,1,1,47,48
1,1,1,1,0,0,34,49
1,3,0,1,0,0,155,50
1,4,1,1,0,0,139,51
1,2,0,0,0,1,187,52
1,4,1,1,1,1,80,53
1,1,0,1,0,0,113,54
1,3,1,1,0,0,7,55
1,2,1,1,1,1,99,56
1,1,0,0,1,0,4,57
1,3,1,1,0,0,119,58
1,1,1,0,1,0,76,59
1,3,0,1,0,0,141,60
1,2,0,0,1,0,56,61
1,4,1,1,0,0,14,62
1,2,1,1,1,1,2,63
1,4,1,1,1,1,50,64
1,1,0,0,1,0,150,65
1,4,1,1,0,0,32,66
1,4,1,1,0,0,44,67
1,1,0,0,1,0,88,68
1,2,1,1,1,1,143,69
1,3,1,0,0,1,103,70
1,2,0,0,0,1,71,71
1,3,1,1,0,0,98,72
1,3,1,1,0,0,78,73
1,3,1,1,0,0,11,74
1,4,1,1,1,1,43,75
1,1,0,0,0,1,40,76
1,2,0,1,0,0,128,77
1,4,1,1,0,0,122,78
1,2,0,0,0,1,20,79
1,1,1,1,0,0,156,80
1,2,1,1,1,1,165,81
1,1,0,0,1,0,72,82
1,4,1,1,0,0,79,83
1,4,0,1,0,0,174,84
1,3,0,1,1,1,62,85
1,3,1,1,0,0,104,86
1,2,0,1,0,0,154,87
1,1,1,1,0,0,13,88
1,1,1,0,1,0,89,89
1,3,1,1,0,0,1,90
1,2,1,1,0,0,176,91
1,2,1,1,1,1,45,92
1,4,1,1,1,1,59,93
1,3,0,1,1,1,123,94
1,1,1,0,1,0,16,95
1,4,1,1,1,1,131,96
1,4,1,1,0,0,145,97
1,2,1,0,1,0,58,98
1,4,1,1,0,0,188,99
1,1,0,0,1,0,53,100
1,1,0,1,0,0,90,101
1,3,1,1,1,1,60,102
1,3,0,0,1,0,172,103
1,2,0,1,1,1,117,104
1,3,0,1,1,1,170,105
1,4,1,1,1,1,15,106
1,3,1,1,0,0,191,107
1,1,1,0,1,0,23,108
1,4,1,1,1,1,186,109
1,1,1,1,0,0,57,110
1,2,1,1,0,0,135,111
1,2,1,1,0,0,74,112
1,1,0,0,1,0,159,113
1,2,1,1,1,1,157,114
1,3,1,1,1,1,151,115
1,4,1,1,0,0,8,116
1,1,1,0,1,0,39,117
1,2,1,1,0,0,144,118
1,3,1,1,0,0,81,119
1,4,1,1,1,1,73,120
1,4,1,1,1,1,68,121
1,3,1,1,1,1,96,122
1,1,0,1,0,0,18,123
1,1,0,0,0,1,162,124
1,2,1,1,1,1,33,125
1,2,0,1,0,0,140,126
1,4,0,1,1,1,153,127
1,3,1,1,1,1,97,128
2,3,0,1,0,0,118,1
2,1,1,0,1,0,124,2
2,1,0,0,0,1,161,3
2,2,0,1,0,0,86,4
2,3,1,1,1,1,181,5
2,4,1,1,1,1,177,6
2,4,1,1,1,1,107,7
2,2,0,1,1,1,3,8
2,4,0,1,0,0,179,9
2,4,1,1,0,0,64,10
2,1,1,1,0,0,163,11
2,2,1,1,1,1,29,12
2,3,0,1,0,0,184,13
2,1,1,1,0,0,100,14
2,3,0,1,0,0,115,15
2,2,0,0,1,0,6,16
2,4,1,1,0,0,166,17
2,3,1,1,1,1,189,18
2,2,1,1,0,0,37,19
2,1,0,0,0,1,183,20
2,2,0,1,1,1,85,21
2,4,1,1,1,1,102,22
2,3,0,0,1,0,111,23
2,1,1,1,0,0,137,24
2,2,1,1,1,1,25,25
2,4,1,1,0,0,110,26
2,4,1,1,1,1,129,27
2,1,0,0,1,0,28,28
2,1,0,0,1,0,185,29
2,3,0,1,0,0,19,30
2,3,0,1,1,1,125,31
2,2,1,1,1,1,112,32
2,1,1,0,1,0,192,33
2,1,0,1,1,1,126,34
2,2,1,1,1,1,147,35
2,2,1,0,0,1,61,36
2,3,1,1,1,1,31,37
2,4,1,1,1,1,66,38
2,3,0,0,0,1,52,39
2,4,1,1,1,1,30,40
2,3,1,1,0,0,26,41
2,2,1,1,1,1,121,42
2,3,1,1,1,1,47,43
2,4,1,1,0,0,69,44
2,4,1,1,1,1,95,45
2,1,0,0,0,1,167,46
2,2,1,1,1,1,146,47
2,1,1,1,0,0,133,48
2,2,0,0,1,0,113,49
2,4,1,1,0,0,155,50
2,1,0,1,0,0,80,51
2,3,0,0,1,0,187,52
2,2,1,0,0,1,34,53
2,4,1,1,0,0,7,54
2,3,1,1,1,1,99,55
2,1,1,0,1,0,139,56
2,3,1,1,0,0,2,57
2,2,1,1,1,1,76,58
2,1,0,0,1,0,14,59
2,3,0,1,0,0,56,60
2,4,0,1,0,0,141,61
2,2,1,0,1,0,4,62
2,1,0,1,0,0,50,63
2,4,1,1,0,0,119,64
2,1,1,0,1,0,32,65
2,3,1,1,1,1,143,66
2,4,0,1,1,1,103,67
2,2,0,1,0,0,88,68
2,1,0,1,0,0,44,69
2,4,1,1,0,0,98,70
2,2,1,1,1,1,150,71
2,3,0,1,0,0,71,72
2,2,1,1,1,1,156,73
2,4,1,1,0,0,78,74
2,2,0,0,1,0,40,75
2,4,1,1,0,0,11,76
2,1,0,1,0,0,43,77
2,1,1,1,0,0,122,78
2,3,0,1,1,1,20,79
2,3,0,1,1,1,128,80
2,1,1,0,0,1,79,81
2,2,1,1,1,1,13,82
2,4,0,1,1,1,62,83
2,4,1,1,0,0,104,84
2,3,0,1,0,0,154,85
2,2,1,1,1,1,72,86
2,1,0,0,0,1,174,87
2,3,0,1,1,1,165,88
2,1,0,0,0,1,59,89
