subject,condition,named,afc,whichItem,trial
1,4,1,1,62,1
1,4,1,1,86,2
1,1,1,0,19,3
1,2,1,1,191,4
1,2,1,1,78,5
1,1,1,0,1,6
1,3,1,1,13,7
1,3,1,1,44,8
1,3,1,1,16,9
1,1,1,1,189,10
1,2,1,1,98,11
1,3,1,1,43,12
1,4,1,1,29,13
1,1,1,1,104,14
1,2,1,1,60,15
1,4,1,1,123,16
1,2,1,1,153,17
1,3,1,1,131,18
1,1,1,1,187,19
1,3,1,1,20,20
1,2,1,1,162,21
1,1,1,0,72,22
1,4,1,1,74,23
1,4,1,1,167,24
1,4,1,1,58,25
1,3,1,1,174,26
1,4,1,1,126,27
1,3,1,1,71,28
1,2,1,1,8,29
1,2,1,1,159,30
1,1,1,1,2,31
1,1,1,1,89,32
1,4,1,1,73,33
1,2,1,1,155,34
1,1,1,1,110,35
1,4,1,1,146,36
1,2,1,1,124,37
1,1,1,0,139,38
1,3,1,1,23,39
1,3,1,1,176,40
1,3,1,1,53,41
1,1,1,0,14,42
1,4,1,1,68,43
1,4,1,1,147,44
1,2,1,1,141,45
1,2,1,1,100,46
1,3,1,1,154,47
1,1,1,0,102,48
1,3,1,1,122,49
1,2,1,1,33,50
1,4,1,1,30,51
1,1,1,0,179,52
1,3,1,1,34,53
1,1,1,1,81,54
1,4,1,1,170,55
1,2,1,1,125,56
1,3,1,1,32,57
1,3,1,1,4,58
1,2,1,1,157,59
1,4,1,1,69,60
1,1,1,1,177,61
1,1,1,1,96,62
1,2,0,1,111,63
1,4,1,1,172,64
1,1,1,0,137,65
1,2,1,1,184,66
1,3,1,1,161,67
1,1,1,1,119,68
1,4,1,1,95,69
1,3,1,1,90,70
1,4,1,1,79,71
1,2,1,1,165,72
1,1,1,0,28,73
1,2,1,1,181,74
1,4,1,1,59,75
1,3,1,1,163,76
1,1,1,1,7,77
1,4,1,1,66,78
1,2,1,1,45,79
1,3,1,1,57,80
1,1,1,1,18,81
1,2,1,1,50,82
1,4,1,1,151,83
1,1,1,1,150,84
1,4,1,1,56,85
1,3,1,1,183,86
1,3,1,1,85,87
1,2,1,1,145,88
1,2,1,1,80,89
1,4,1,1,97,90
1,1,1,1,39,91
1,4,1,1,99,92
1,2,1,1,15,93
1,3,1,1,185,94
1,1,1,1,156,95
1,3,1,1,25,96
1,2,1,1,11,97
1,2,1,1,121,98
1,3,1,1,188,99
1,4,1,1,52,100
1,3,1,1,118,101
1,4,1,1,113,102
1,1,1,1,166,103
1,1,1,1,107,104
1,1,1,1,129,105
1,4,1,1,26,106
1,2,1,1,61,107
1,3,1,1,186,108
1,2,1,1,103,109
1,1,1,1,64,110
1,4,1,1,76,111
1,3,1,1,115,112
1,4,1,1,133,113
1,2,1,1,37,114
1,4,1,1,135,115
1,2,1,1,40,116
1,1,1,1,144,117
1,1,1,1,3,118
1,3,1,1,47,119
1,3,1,1,143,120
1,2,1,1,88,121
1,4,1,1,192,122
1,3,1,1,31,123
1,2,1,1,112,124
1,4,1,1,117,125
1,1,1,0,140,126
1,1,1,0,6,127
1,3,1,1,128,128
2,1,1,0,62,1
2,3,1,1,191,2
2,2,1,1,1,3
2,4,1,1,44,4
2,4,1,1,13,5
2,1,1,0,86,6
2,2,1,1,19,7
2,3,1,1,78,8
2,2,1,1,189,9
2,2,1,1,104,10
2,1,1,1,29,11
2,3,1,1,98,12
2,4,1,1,16,13
