subject,condition,studyResp,studyResp2,rt1,rt2,whichItem,list
1,1,0,0,6.58387424919056,0,161,1
1,2,1,1,6.67560053127818,2.18352832866367,3,1
1,4,1,8,5.30883968726266,1.59181985573377,64,1
1,2,8,1,2.32521295541665,1.87515167979291,29,1
1,3,1,2,2.62523831089493,6.97560687013902,181,1
1,4,8,8,3.96701107791159,2.55022427480435,107,1
1,4,1,8,2.76690422283718,2.40854145912454,177,1
1,1,4,0,2.8669150894857,0,163,1
1,1,4,0,2.39188113133423,0,100,1
1,4,8,1,3.54195448098471,1.95840562653029,179,1
1,1,0,0,0,0,124,1
1,3,3,2,2.95026804308873,1.52512753178598,184,1
1,2,1,1,3.22523589606863,2.58355821180157,6,1
1,2,1,1,2.00021461560391,6.36721422319533,86,1
1,3,1,1,2.36685683234828,3.9920130399405,118,1
1,3,3,1,3.90033656312153,3.77533097885316,115,1
1,1,0,0,0,0,28,2
1,1,0,0,0,0,137,2
1,2,1,1,1.82520027767168,1.70014609559439,37,2
1,4,8,1,3.26693410606822,7.74236711038975,102,2
1,2,8,1,3.71699447615538,1.93351716018515,85,2
1,4,1,8,4.16702345374506,2.21684023062699,166,2
1,3,1,2,1.85016631952021,2.22518850554479,189,2
1,1,4,1,1.20843611337477,3.01693048386369,183,2
1,2,8,1,4.74209152103867,3.18361163936788,25,2
1,4,8,8,2.47521506837802,2.79190709046088,110,2
1,3,1,8,2.03351414168719,1.67514202056918,125,2
1,4,1,8,1.76683419360779,1.84182317607338,129,2
1,2,8,1,4.13369555375539,2.03350961394608,112,2
1,3,1,8,1.79181804461405,1.74182408163324,111,2
1,3,1,6,2.35022155812476,2.33354462857824,19,2
1,1,4,0,3.42540100816404,0,185,2
1,3,3,1,2.55855836276896,2.30019288236508,26,3
1,1,0,4,0,2.26686951005831,126,3
1,2,8,1,3.46693621901795,1.6834848622093,147,3
1,1,0,0,0,0,167,3
1,3,2,1,4.84209484135499,1.70848410762846,52,3
1,3,2,2,5.75050016597379,2.80025808204664,47,3
1,3,7,7,3.11694376525702,2.69189803494373,31,3
1,4,1,8,2.81689818593441,2.03352138609625,66,3
1,2,1,1,5.93388753052568,6.74227051832713,146,3
1,1,0,6,0,2.35020616377005,133,3
1,4,1,8,1.80013854929712,4.23373388871551,95,3
1,1,0,4,0,2.79191101453034,192,3
1,2,8,1,1.91683721210575,2.800249932101,61,3
1,4,8,2,4.04201786959311,1.98357300250791,69,3
1,4,1,8,3.32529354945291,1.55013553082244,30,3
1,2,1,1,3.6086259772419,1.83347942889668,121,3
1,2,1,1,1.8501563584432,3.41696821514051,4,4
1,3,7,1,4.31711068854202,2.30019620270468,2,4
1,1,4,0,1.92518639256014,0,50,4
1,4,1,1,1.84183253342053,2.26686407678062,7,4
