subject,condition,studyResp,studyResp2,whichItem
1,4,6,6,86
1,4,6,6,123
1,2,6,6,78
1,4,6,6,29
1,4,6,6,62
1,3,6,6,13
1,2,6,6,60
1,3,6,6,16
1,1,0,0,189
1,3,6,6,43
1,1,0,0,1
1,1,0,0,104
1,2,6,6,98
1,2,6,6,191
1,1,0,0,19
1,3,6,6,44
1,4,6,6,74
1,1,0,0,89
1,2,6,6,159
1,4,6,6,167
1,2,6,6,153
1,4,6,6,58
1,1,0,0,187
1,1,0,0,72
1,3,6,6,174
1,1,0,0,2
1,3,6,6,131
1,2,6,6,8
1,4,6,6,126
1,3,6,6,20
1,2,6,6,162
1,3,6,6,71
1,4,6,6,73
1,3,6,6,176
1,4,6,6,146
1,3,6,6,154
1,2,6,6,100
1,1,0,0,14
1,1,0,0,102
1,1,0,0,139
1,3,6,6,53
1,4,6,6,147
1,2,6,6,124
1,2,6,6,141
1,4,6,6,68
1,1,0,0,110
1,2,6,6,155
1,3,6,6,23
1,2,6,6,157
1,2,6,6,125
1,3,6,6,122
1,3,6,6,4
1,1,0,0,177
1,1,0,0,179
1,2,6,6,111
1,1,0,0,96
1,4,6,6,30
1,4,6,6,172
1,4,6,6,69
1,3,6,6,34
1,3,6,6,32
1,1,0,0,81
1,2,6,6,33
1,4,6,6,170
1,4,6,6,66
1,2,6,6,165
1,1,0,0,7
1,2,6,6,184
1,1,0,0,137
1,2,6,6,181
1,4,6,6,59
1,4,6,6,95
1,3,6,6,163
1,2,6,6,45
1,3,6,6,161
1,1,0,0,28
1,4,6,6,79
1,3,6,6,90
1,1,0,0,119
1,3,6,6,57
1,2,6,6,80
1,2,6,6,15
1,2,6,6,50
1,1,0,0,150
1,4,6,6,151
1,1,0,0,156
1,4,6,6,56
1,1,0,0,39
1,3,6,6,185
1,3,6,6,183
1,4,6,6,99
1,2,6,6,145
1,3,6,6,85
1,4,6,6,97
1,1,0,0,18
1,3,6,6,25
1,2,6,6,121
1,1,0,0,129
1,3,6,6,188
1,4,6,6,26
1,2,6,6,103
1,1,0,0,107
1,3,6,6,186
1,4,6,6,113
1,3,6,6,115
1,2,6,6,11
1,1,0,0,166
1,4,6,6,76
1,3,6,6,118
1,2,6,6,61
1,4,6,6,52
1,1,0,0,64
1,4,6,6,133
1,3,6,6,31
1,3,6,6,47
1,4,6,6,117
1,1,0,0,144
1,2,6,6,37
1,4,6,6,192
1,3,6,6,143
1,3,6,6,128
1,1,0,0,140
1,2,6,6,88
1,4,6,6,135
1,1,0,0,6
1,2,6,6,40
1,2,6,6,112
1,1,0,6,3
2,2,6,6,19
2,3,6,6,191
2,4,6,6,16
2,3,6,6,60
2,3,6,6,78
2,3,6,6,98
2,1,0,0,123
2,1,0,0,86
2,1,0,0,29
2,4,6,6,44
2,1,0,0,62
2,2,6,6,104
2,4,6,6,43
2,4,6,6,13
2,2,6,6,1
2,2,6,6,189
2,4,6,6,174
2,1,0,0,126
2,3,6,6,162
2,2,6,6,89
2,2,6,6,2
2,1,0,0,74
2,3,6,6,8
2,2,6,6,72
2,3,6,6,153
2,1,0,0,167
2,1,0,0,58
2,4,6,6,20
2,4,6,6,71
2,4,6,6,131
2,3,6,6,159
2,2,6,6,187
2,2,6,6,110
2,2,6,6,139
2,2,6,6,14
2,2,6,6,102
2,1,0,0,73
2,4,6,6,154
2,3,6,6,100
2,4,6,6,53
2,4,6,6,23
2,3,6,6,155
2,3,6,6,124
2,1,0,0,146
2,1,0,0,147
2,3,6,6,141
2,1,0,0,68
2,4,6,6,176
2,4,6,6,34
2,3,6,6,125
2,1,0,0,30
2,1,0,0,172
2,1,0,0,170
2,2,6,6,81
2,3,6,6,111
2,3,6,6,157
2,2,6,6,177
2,3,6,6,33
2,4,6,6,4
2,2,6,6,179
2,2,6,6,96
2,4,6,6,122
2,1,0,0,69
2,4,6,6,32
2,3,6,6,45
2,2,6,6,28
2,3,6,6,184
2,4,6,6,161
2,2,6,6,7
2,4,6,6,90
2,1,0,0,59
2,1,0,0,66
2,3,6,6,181
2,1,0,0,79
2,2,6,6,137
2,1,0,0,95
2,4,6,6,163
2,4,6,6,57
2,2,6,6,119
2,3,6,6,165
2,1,0,0,151
2,1,0,0,56
2,2,6,6,156
2,3,6,6,80
2,1,0,0,97
2,2,6,6,18
2,4,6,6,25
2,4,6,6,85
2,1,0,0,99
2,3,6,6,145
2,2,6,6,150
2,3,6,6,15
2,4,6,6,185
2,4,6,6,183
2,2,6,6,39
2,3,6,6,50
2,1,0,0,26
2,2,6,6,129
2,4,6,6,118
2,4,6,6,186
2,3,6,6,103
2,2,6,6,64
2,1,0,0,76
2,2,6,6,107
2,2,6,6,166
2,4,6,6,188
2,3,6,6,121
2,1,0,0,52
2,3,6,6,11
2,1,0,0,113
2,3,6,6,61
2,4,6,6,115
2,4,6,6,143
2,2,6,6,6
2,1,0,0,117
2,4,6,6,47
2,3,6,6,88
2,3,6,6,40
2,1,0,0,135
2,1,0,0,133
2,4,6,6,128
2,2,6,6,144
2,4,6,6,31
2,1,0,0,192
2,3,6,6,37
2,2,6,6,140
2,3,6,6,112
2,2,6,6,3
3,4,6,6,78
3,4,6,6,98
3,1,0,0,16
3,1,0,0,13
3,1,0,0,43
3,1,0,0,44
3,3,6,6,19
3,3,6,6,104
3,4,6,6,60
3,2,6,6,62
3,3,6,6,1
3,3,6,6,189
3,2,6,6,86
3,2,6,6,29
3,4,6,6,191
3,2,6,6,123
3,4,6,6,162
3,2,6,6,58
3,3,6,6,89
3,1,0,0,71
3,3,6,6,187
3,2,6,6,74
3,1,0,0,131
3,1,0,0,174
3,3,6,6,2
3,1,0,0,20
3,2,6,6,126
3,3,6,6,72
3,4,6,6,153
3,4,6,6,159
3,2,6,6,167
3,4,6,6,8
3,4,6,6,124
3,4,6,6,141
3,3,6,6,110
3,1,0,0,154
3,1,0,0,176
3,1,0,0,53
3,4,6,6,100
3,2,6,6,147
3,3,6,6,14
3,3,6,6,139
3,2,6,6,146
3,2,6,6,73
3,1,0,0,23
3,3,6,6,102
3,2,6,6,68
3,4,6,6,155
3,3,6,6,96
3,3,6,6,81
3,2,6,6,172
3,2,6,6,170
3,4,6,6,111
3,1,0,0,34
3,4,6,6,157
3,3,6,6,179
3,1,0,0,32
3,3,6,6,177
3,4,6,6,125
3,4,6,6,33
3,1,0,0,122
