"","subject","condition","whichSide","whichResp","whichItem","trial","condition.y","studyResp","studyResp2","rt1","rt2","list","pas1","pas2","state","score","trace"
"1","1","b_word",0,0,"118",1,2,"1","8",3.07506358326646,2.24172964628087,"1","3","3","afc",1,1
"2","1","d_binocular",1,1,"161",2,4,"8","1",3.90010166080901,2.96674079936929,"1","3","3","afc",1,1
"3","1","c_cfs",0,0,"107",3,3,"1","1",4.22510170610622,12.4669825757737,"1","3","3","afc",1,1
"4","1","a_foil",1,1,"3",4,1,"9","9",0,2.18342379573733,"1","fNS","fNS","afc",1,1
"5","1","c_cfs",1,1,"177",5,3,"8","1",2.29172786534764,0,"1","3","3","afc",1,1
"6","1","b_word",1,1,"181",6,2,"1","1",2.71672615996795,7.56684952328214,"1","3","3","afc",1,1
"7","1","a_foil",0,0,"86",7,1,"4","9",5.40848294191528,2.66674454224994,"1","0","fNS","afc",1,1
"8","1","d_binocular",1,1,"124",8,4,"1","8",3.05840606242418,2.79177193448413,"1","3","3","afc",1,1
"9","1","b_word",1,1,"115",9,2,"8","8",4.03349403466564,2.03338446555426,"1","3","3","afc",1,1
"10","1","d_binocular",1,1,"100",10,4,"1","8",3.00010624882998,3.83343113050796,"1","3","3","afc",1,1
"11","1","d_binocular",0,0,"163",11,4,"8","1",3.05841692886315,2.14170513662975,"1","3","3","afc",1,1
"12","1","c_cfs",1,1,"179",12,3,"2","8",4.9084581907955,2.60006314556813,"1","2","3","afc",1,1
"13","1","a_foil",0,1,"6",13,1,"4","4",3.58341407642001,0,"1","0","0","afc",0,1
"14","1","c_cfs",0,0,"64",14,3,"8","1",2.59173076308798,2.40005336585455,"1","3","3","afc",1,1
"15","1","b_word",0,0,"184",15,2,"8","8",4.30011789995478,2.58341890590964,"1","3","3","afc",1,1
"16","1","a_foil",1,0,"29",16,1,"9","9",0,3.10007914330345,"1","fNS","fNS","afc",0,1
"17","1","b_word",1,1,"189",17,2,"8","8",2.45009293756448,2.26675063942093,"2","3","3","afc",1,1
"18","1","b_word",1,1,"111",18,2,"8","1",0,2.39172128518112,"2","3","3","afc",1,1
"19","1","c_cfs",1,1,"102",19,3,"2","2",0.983365117455833,0,"2","2","2","afc",1,1
"20","1","d_binocular",0,0,"183",20,4,"8","1",3.16675239009783,3.84175204305211,"2","3","3","afc",1,1
"21","1","d_binocular",0,0,"137",21,4,"8","8",3.47509582014754,0,"2","3","3","afc",1,1
"22","1","a_foil",0,0,"37",22,1,"9","9",2.65843781636795,5.81681345304241,"2","fNS","fNS","afc",1,1
"23","1","a_foil",1,0,"85",23,1,"9","4",2.20005807460984,2.8500678241835,"2","fNS","0","afc",0,1
"24","1","c_cfs",0,0,"166",24,3,"1","8",4.52511788491393,0,"2","3","3","afc",1,1
"25","1","d_binocular",1,1,"185",25,4,"8","8",8.57523442653473,3.65009879326681,"2","3","3","afc",1,1
"26","1","c_cfs",1,0,"110",26,3,"8","1",0,5.77514369250275,"2","3","3","afc",0,1
"27","1","b_word",1,1,"125",27,2,"8","1",4.90013124141842,2.62507025402738,"2","3","3","afc",1,1
"28","1","d_binocular",0,0,"28",28,4,"8","8",2.40839389816392,2.18338757456513,"2","3","3","afc",1,1
"29","1","a_foil",1,0,"25",29,1,"4","9",2.46673385694157,0,"2","0","fNS","afc",0,1
"30","1","b_word",1,1,"19",30,2,"8","1",0,2.15006196842296,"2","3","3","afc",1,1
"31","1","c_cfs",1,1,"129",31,3,"1","1",3.76676995743765,3.95007965638069,"2","3","3","afc",1,1
"32","1","a_foil",0,0,"112",32,1,"9","4",3.32509240932995,2.46676102286438,"2","fNS","0","afc",1,1
"33","1","d_binocular",1,1,"192",33,4,"1","1",0,3.0333892951021,"3","3","3","afc",1,1
"34","1","b_word",1,1,"31",34,2,"1","1",9.19191192934522,3.60008246358484,"3","3","3","afc",1,1
"35","1","c_cfs",1,1,"66",35,3,"1","1",0,0,"3","3","3","afc",1,1
"36","1","b_word",0,0,"52",36,2,"1","8",2.77507758879801,5.42513321846491,"3","3","3","afc",1,1
"37","1","c_cfs",1,1,"30",37,3,"1","1",1.80006387003232,2.80841345759109,"3","3","3","afc",1,1
"38","1","d_binocular",0,0,"126",38,4,"1","8",3.50842142628971,3.20008161838632,"3","3","3","afc",1,1
"39","1","a_foil",0,0,"61",39,1,"9","4",5.4918007303495,1.89171102253022,"3","fNS","0","afc",1,1
"40","1","a_foil",1,0,"147",40,1,"9","9",4.05011925823055,0,"3","fNS","fNS","afc",0,1
"41","1","c_cfs",0,0,"69",41,3,"1","1",3.55008514999645,5.19182077271398,"3","3","3","afc",1,1
"42","1","c_cfs",0,0,"95",42,3,"1","1",2.34175838169176,2.33337921352359,"3","3","3","afc",1,1
"43","1","d_binocular",0,0,"133",43,4,"8","1",3.08341920771636,0.941692338441499,"3","3","3","afc",1,1
"44","1","b_word",1,1,"26",44,2,"8","1",4.85011642094469,2.3333952112007,"3","3","3","afc",1,1
"45","1","a_foil",0,0,"121",45,1,"4","9",2.2834102732013,4.13344036694616,"3","0","fNS","afc",1,1
"46","1","a_foil",1,0,"146",46,1,"9","4",3.39174392347923,0,"3","fNS","0","afc",0,1
"47","1","d_binocular",0,0,"167",47,4,"1","8",0,4.10843808803475,"3","3","3","afc",1,1
"48","1","b_word",1,1,"47",48,2,"1","1",3.30011427786667,2.22505884437123,"3","3","3","afc",1,1
"49","1","a_foil",0,0,"34",49,1,"9","9",1.85839024587767,3.23337824759074,"4","fNS","fNS","afc",1,1
"50","1","c_cfs",0,0,"155",50,3,"2","8",5.59180924232351,2.11670768714976,"4","2","3","afc",1,1
"51","1","d_binocular",0,0,"139",51,4,"1","1",2.87508096941747,2.06669890350895,"4","3","3","afc",1,1
"52","1","b_word",0,1,"187",52,2,"8","1",1.52503910381347,2.82506313046906,"4","3","3","afc",0,1
"53","1","d_binocular",1,1,"80",53,4,"8","8",2.30006326636067,3.50841267278884,"4","3","3","afc",1,1
"54","1","a_foil",0,0,"113",54,1,"4","9",2.78339578473242,2.16670500079636,"4","0","fNS","afc",1,1
"55","1","c_cfs",0,0,"7",55,3,"8","1",0,1.5833528022049,"4","3","3","afc",1,1
"56","1","b_word",1,1,"99",56,2,"1","1",1.72505431668833,7.62519068946131,"4","3","3","afc",1,1
"57","1","a_foil",1,0,"4",57,1,"4","9",3.65009788773023,4.37512322753901,"4","0","fNS","afc",0,1
"58","1","c_cfs",0,0,"119",58,3,"8","1",0,0,"4","3","3","afc",1,1
"59","1","a_foil",1,0,"76",59,1,"4","9",2.36673258926021,0,"4","0","fNS","afc",0,1
"60","1","c_cfs",0,0,"141",60,3,"1","8",2.62507387611549,2.24172904255101,"4","3","3","afc",1,1
"61","1","b_word",1,0,"56",61,2,"1","8",3.90009803866269,2.58337966626277,"4","3","3","afc",0,1
