subject,condition,studyResp,named,whichItem,trial
1,4,2,0,132,1
1,1,1,0,121,2
1,4,0,0,47,3
1,2,3,1,97,4
1,1,1,0,197,5
1,1,0,0,137,6
1,3,2,0,116,7
1,3,1,0,124,8
1,1,0,0,91,9
1,3,0,0,63,10
1,3,1,1,79,11
1,3,1,1,5,12
1,1,1,0,163,13
1,1,1,0,18,14
1,2,2,0,16,15
1,1,2,0,30,16
1,1,3,1,12,17
1,3,0,0,153,18
1,4,1,0,179,19
1,2,0,1,48,20
1,1,1,0,89,21
1,1,1,0,144,22
1,4,1,0,189,23
1,2,1,0,60,24
1,3,NaN,0,64,25
1,2,0,0,130,26
1,1,NaN,0,133,27
1,4,NaN,0,178,28
1,4,NaN,0,194,29
1,3,NaN,0,191,30
1,2,3,1,1,31
1,4,1,0,96,32
1,1,0,0,25,33
1,4,1,0,136,34
1,1,0,1,122,35
1,4,1,0,159,36
1,2,1,0,172,37
1,2,1,0,4,38
1,2,1,0,135,39
1,2,0,0,173,40
1,3,0,0,127,41
1,4,1,0,190,42
1,1,1,0,53,43
1,2,1,0,77,44
1,3,1,0,142,45
1,4,0,0,148,46
1,2,1,0,200,47
1,4,0,0,199,48
1,4,2,0,28,49
1,1,1,0,112,50
1,2,0,0,56,51
1,3,1,0,101,52
1,3,1,0,164,53
1,1,3,1,69,54
1,2,1,0,184,55
1,1,1,0,23,56
1,4,1,0,93,57
1,3,1,0,139,58
1,1,1,0,50,59
1,3,3,0,188,60
1,1,1,0,46,61
1,2,1,0,26,62
1,3,2,1,103,63
1,4,1,0,110,64
1,2,1,0,156,65
1,4,2,0,119,66
1,4,0,0,21,67
1,2,1,0,73,68
1,3,1,0,102,69
1,2,1,1,70,70
1,3,0,1,192,71
1,4,1,0,33,72
1,4,2,0,11,73
1,4,1,0,40,74
1,2,1,0,107,75
1,2,0,0,160,76
1,2,2,0,38,77
1,1,1,0,141,78
1,4,3,0,154,79
1,4,1,0,35,80
1,4,2,0,66,81
1,1,0,0,158,82
1,2,1,0,36,83
1,1,1,0,186,84
1,4,0,0,174,85
1,1,1,0,105,86
1,1,1,0,98,87
1,4,1,0,193,88
1,3,1,1,198,89
1,3,1,0,167,90
1,3,1,0,19,91
1,4,0,0,6,92
1,3,3,0,85,93
1,4,3,1,140,94
1,3,1,0,83,95
1,3,1,0,75,96
1,3,1,0,146,97
1,2,1,0,180,98
1,2,2,0,41,99
1,2,1,0,13,100
1,3,0,0,31,101
1,3,2,0,74,102
1,4,2,0,94,103
1,1,1,1,32,104
1,1,0,0,104,105
1,3,3,1,114,106
1,3,0,1,27,107
1,2,1,1,15,108
1,1,0,0,3,109
