subject,condition,studyResp,named,whichItem,trial
1,2,3,1,25,1
1,2,2,1,117,2
1,3,3,1,116,3
1,3,3,1,72,4
1,3,3,1,69,5
1,2,3,1,23,6
1,2,2,0,36,7
1,3,3,1,90,8
1,2,3,1,108,9
1,0,3,0,54,10
1,3,2,0,34,11
1,3,3,1,71,12
1,3,3,1,52,13
1,0,3,1,4,14
1,0,1,0,5,15
1,3,3,1,60,16
1,2,3,1,45,17
1,1,3,1,41,18
1,3,3,1,50,19
1,3,3,1,114,20
1,1,3,1,48,21
1,1,3,1,113,22
1,1,3,1,33,23
1,3,3,1,95,24
1,2,3,1,77,25
1,1,3,1,53,26
1,0,1,0,109,27
1,0,3,1,39,28
1,1,3,1,9,29
1,1,1,0,111,30
1,1,3,1,74,31
1,1,3,1,32,32
1,0,2,1,44,33
1,1,2,0,22,34
1,1,3,1,30,35
1,0,3,1,88,36
1,2,3,1,61,37
1,0,2,0,104,38
1,3,3,1,10,39
1,0,3,1,15,40
1,1,3,0,7,41
1,0,3,1,102,42
1,2,3,1,84,43
1,3,3,1,99,44
1,3,3,0,78,45
1,3,3,1,118,46
1,2,3,1,68,47
1,2,3,1,27,48
1,2,3,0,120,49
1,0,3,1,3,50
1,2,3,1,46,51
1,2,2,1,96,52
1,1,3,1,8,53
1,3,3,1,75,54
1,0,3,1,106,55
1,2,3,1,51,56
1,0,3,1,98,57
1,1,3,1,87,58
1,3,3,1,73,59
1,3,3,1,91,60
1,2,3,1,83,61
1,1,2,0,93,62
1,2,3,1,29,63
1,3,3,1,59,64
1,3,3,1,63,65
1,2,3,1,43,66
1,0,2,0,16,67
1,1,3,1,97,68
1,1,3,0,6,69
1,2,2,0,65,70
1,3,2,1,85,71
1,2,3,0,24,72
1,1,3,1,105,73
1,1,3,1,64,74
1,0,3,1,89,75
1,0,3,1,11,76
1,0,3,1,40,77
1,0,3,1,92,78
1,1,3,1,115,79
1,2,3,1,56,80
1,0,3,0,76,81
1,2,3,1,94,82
1,2,3,1,14,83
1,1,3,1,38,84
1,2,3,1,82,85
1,1,3,1,81,86
1,1,3,1,35,87
1,1,3,1,67,88
1,0,3,1,119,89
1,2,3,1,66,90
1,3,3,0,86,91
1,3,3,1,19,92
1,2,3,1,28,93
1,3,3,1,103,94
1,2,3,1,37,95
1,1,3,1,2,96
1,0,3,1,55,97
1,0,2,0,112,98
1,0,3,1,18,99
1,1,3,1,57,100
1,3,3,1,79,101
1,0,3,1,110,102
1,3,3,1,20,103
1,0,3,1,13,104
1,0,3,1,62,105
1,1,3,1,42,106
1,2,3,1,70,107
1,3,3,1,58,108
1,2,3,1,47,109
1,1,3,1,80,110
1,0,3,0,12,111
1,0,3,1,107,112
1,2,3,1,21,113
1,1,3,1,49,114
1,3,3,1,100,115
1,3,2,0,17,116
1,1,3,0,1,117
1,3,3,1,101,118
1,0,3,1,26,119
1,0,3,1,31,120
1,3,3,1,10,121
1,0,3,1,119,122
1,1,3,1,105,123
1,0,3,1,31,124
1,1,3,1,9,125
1,0,3,1,88,126
1,2,3,1,84,127
1,1,3,1,1,128
1,1,3,1,38,129
1,2,3,1,120,130
1,2,3,1,29,131
1,1,3,0,8,132
1,3,3,1,90,133
1,1,3,1,2,134
1,2,3,1,65,135
1,2,3,1,68,136
1,3,3,0,59,137
1,0,3,1,4,138
1,2,3,1,66,139
1,0,3,1,54,140
1,2,3,1,27,141
1,3,3,1,60,142
1,3,3,1,116,143
1,3,3,1,118,144
1,2,3,1,47,145
1,2,3,1,43,146
1,2,3,1,46,147
1,0,3,1,62,148
1,3,3,1,103,149
1,1,3,1,53,150
1,0,3,1,110,151
1,0,3,0,109,152
1,0,3,1,44,153
1,0,3,1,76,154
1,1,3,1,74,155
1,3,3,1,20,156
1,1,3,1,97,157
1,1,3,1,57,158
1,1,3,1,80,159
1,3,3,1,73,160
1,1,3,1,41,161
1,2,3,1,14,162
1,2,3,1,61,163
1,0,3,0,12,164
1,3,3,1,71,165
1,3,3,1,99,166
1,3,3,1,91,167
1,1,3,1,42,168
1,2,3,1,23,169
1,0,3,1,55,170
1,0,3,1,40,171
1,1,3,1,67,172
1,0,3,1,102,173
1,3,3,1,63,174
1,1,3,1,6,175
1,1,3,1,48,176
1,0,3,1,26,177
1,3,3,1,75,178
1,2,3,1,82,179
1,0,3,0,5,180
1,3,3,1,95,181
1,1,3,1,32,182
1,2,2,0,45,183
1,0,3,1,39,184
1,3,3,1,69,185
1,3,3,1,34,186
1,2,3,1,77,187
1,0,3,1,18,188
1,3,3,1,50,189
1,1,3,1,49,190
1,2,3,1,37,191
1,2,3,1,28,192
1,2,3,1,51,193
1,0,3,1,107,194
1,1,3,1,33,195
1,3,3,1,114,196
1,3,3,1,101,197
1,3,3,0,86,198
1,0,3,1,3,199
1,1,3,1,7,200
1,0,3,1,106,201
1,1,3,1,113,202
1,0,3,1,15,203
1,2,3,1,94,204
1,0,3,1,92,205
1,3,3,1,78,206
1,1,3,1,30,207
1,2,3,1,25,208
1,2,3,1,56,209
1,2,3,1,21,210
1,3,3,1,19,211
1,3,3,1,85,212
1,3,3,1,79,213
1,0,3,1,16,214
1,1,3,1,87,215
1,0,3,1,104,216
1,2,2,0,96,217
1,3,3,1,52,218
1,1,3,1,35,219
1,3,3,1,58,220
1,3,3,1,100,221
1,1,3,1,111,222
1,0,3,1,98,223
1,0,3,1,89,224
1,0,3,1,112,225
1,2,3,1,117,226
1,2,3,1,36,227
1,1,2,1,22,228
1,0,3,1,11,229
1,2,3,1,108,230
1,1,3,1,93,231
1,3,3,1,17,232
1,2,3,0,24,233
1,1,3,1,115,234
1,2,3,1,83,235
1,1,3,1,81,236
1,3,3,1,72,237
1,0,3,1,13,238
1,1,3,1,64,239
1,2,3,1,70,240
1,0,3,1,110,241
1,3,3,1,103,242
1,3,3,0,86,243
1,1,3,1,53,244
1,1,3,1,49,245
1,1,3,1,80,246
1,0,3,1,98,247
1,2,3,1,94,248
1,0,3,1,55,249
1,1,3,1,93,250
1,0,3,0,109,251
1,0,3,1,92,252
1,3,3,1,90,253
1,2,3,1,14,254
1,1,3,1,8,255
1,0,3,1,88,256
1,1,3,1,35,257
1,2,3,1,47,258
1,1,3,1,41,259
1,2,3,1,84,260
1,3,3,1,59,261
1,1,3,1,7,262
1,3,3,1,34,263
1,2,3,1,56,264
1,1,3,1,2,265
1,0,3,1,104,266
1,3,3,1,19,267
1,0,3,1,11,268
1,0,3,1,76,269
1,1,3,1,97,270
1,0,3,1,89,271
1,0,3,1,62,272
1,2,3,1,61,273
1,3,3,1,118,274
1,0,3,1,39,275
1,1,3,1,67,276
1,0,3,1,16,277
1,2,3,1,37,278
1,3,3,1,50,279
1,3,3,1,78,280
1,2,3,1,28,281
1,2,3,1,46,282
1,3,3,1,79,283
1,1,3,1,64,284
1,0,3,1,112,285
1,2,3,1,21,286
1,0,3,1,40,287
1,3,3,1,95,288
1,1,3,0,1,289
1,0,3,1,18,290
1,2,3,1,83,291
1,3,3,1,69,292
1,0,3,1,13,293
1,3,3,1,73,294
1,1,3,1,32,295
1,2,3,1,43,296
1,1,3,1,57,297
1,1,3,1,87,298
1,3,3,1,75,299
1,3,3,1,100,300
1,2,3,0,96,301
1,1,3,1,48,302
1,0,3,1,3,303
1,2,3,1,36,304
1,2,NaN,1,65,305
1,3,NaN,0,52,306
1,2,NaN,1,70,307
1,3,3,1,60,308
1,3,3,1,101,309
1,3,3,1,58,310
1,3,3,1,71,311
1,0,3,1,119,312
1,2,3,1,68,313
1,1,3,1,105,314
1,0,3,1,54,315
1,2,3,0,82,316
1,2,3,1,23,317
1,0,3,1,106,318
1,2,1,0,108,319
1,1,3,1,115,320
1,1,3,1,113,321
1,0,3,1,4,322
1,3,3,1,114,323
1,1,3,1,6,324
1,3,3,1,63,325
1,2,3,1,27,326
1,2,3,1,77,327
1,1,3,1,33,328
1,3,3,1,85,329
1,1,3,1,9,330
1,3,3,1,17,331
1,2,3,1,66,332
1,2,3,0,24,333
1,0,3,1,15,334
1,2,3,1,29,335
1,0,3,0,12,336
1,0,3,1,44,337
1,0,3,1,107,338
1,2,3,1,51,339
1,0,3,1,102,340
1,0,3,1,26,341
1,2,3,1,25,342
1,1,3,1,81,343
1,3,3,1,99,344
1,0,3,1,31,345
1,1,3,1,30,346
1,1,3,1,111,347
1,2,3,0,45,348
1,0,3,0,5,349
1,3,3,1,72,350
1,2,3,1,120,351
1,1,3,1,38,352
1,2,3,1,117,353
1,1,3,1,74,354
1,1,3,1,22,355
1,1,3,1,42,356
1,3,3,1,10,357
1,3,3,1,116,358
1,3,3,1,91,359
1,3,3,1,20,360
2,0,3,1,39,1
2,3,3,1,13,2
2,2,3,1,34,3
2,0,3,1,82,4
2,1,3,1,55,5
2,1,3,1,15,6
2,2,3,1,78,7
2,0,2,1,119,8
2,3,2,0,24,9
