subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
1,2,3,3,0,0,111,1
1,3,1,1,1,1,49,2
1,3,1,1,0,1,93,3
1,3,0,1,0,0,10,4
1,4,3,3,0,1,64,5
1,1,99999,99999,0,1,113,6
1,4,2,2,1,1,144,7
1,4,2,3,0,1,20,8
1,2,3,3,0,1,130,9
1,1,99999,99999,0,0,61,10
1,1,99999,99999,1,1,192,11
1,4,2,2,1,1,153,12
1,3,1,1,1,1,23,13
1,3,1,1,0,1,72,14
1,1,99999,99999,0,1,24,15
1,3,3,3,1,1,176,16
1,4,3,3,1,1,47,17
1,4,3,3,1,1,167,18
1,2,3,3,0,0,70,19
1,4,1,2,0,1,198,20
1,4,3,3,1,1,142,21
1,3,0,0,0,1,21,22
1,2,3,3,0,0,128,23
1,4,2,3,0,0,171,24
1,4,3,3,1,1,131,25
1,3,1,2,0,1,173,26
1,2,3,3,0,1,184,27
1,4,3,3,0,1,185,28
1,4,3,3,1,1,116,29
1,3,1,3,0,1,161,30
1,2,3,3,0,1,141,31
1,4,2,3,1,1,57,32
1,3,1,1,1,0,81,33
1,2,3,3,1,0,101,34
1,4,3,3,1,1,155,35
1,1,99999,99999,0,1,119,36
1,4,2,2,1,1,170,37
1,4,2,2,1,1,105,38
1,3,1,1,0,1,172,39
1,2,3,3,0,1,137,40
1,4,3,3,0,1,68,41
1,3,1,1,0,0,58,42
1,4,2,3,1,1,103,43
1,1,99999,99999,0,1,200,44
1,4,3,3,1,1,124,45
1,2,3,3,1,1,125,46
1,4,3,3,0,0,145,47
1,2,3,3,0,0,18,48
1,2,3,3,1,1,65,49
1,3,1,1,0,1,189,50
1,1,99999,99999,0,0,134,51
1,2,3,3,0,1,193,52
1,4,3,3,0,1,120,53
1,3,0,0,1,1,114,54
1,4,3,3,1,1,187,55
1,3,1,1,1,1,71,56
1,1,99999,99999,1,1,97,57
1,1,99999,99999,0,1,109,58
1,4,3,3,1,1,139,59
1,3,2,2,0,1,179,60
1,2,3,3,1,1,74,61
1,2,3,3,1,1,99,62
1,3,1,1,0,1,121,63
1,4,2,3,1,0,194,64
1,1,99999,99999,0,1,41,65
1,4,2,2,1,1,136,66
1,3,2,2,0,1,159,67
1,3,1,0,0,1,83,68
1,3,1,2,0,0,152,69
1,3,1,1,1,1,98,70
1,3,2,2,1,1,92,71
1,3,3,3,1,1,79,72
1,1,99999,99999,0,1,199,73
1,1,99999,99999,1,1,37,74
1,1,99999,99999,1,1,62,75
1,1,99999,99999,0,0,110,76
1,1,99999,99999,1,1,87,77
1,4,3,3,1,1,138,78
1,1,99999,99999,0,1,174,79
1,4,3,3,1,1,33,80
1,2,3,3,0,1,164,81
1,1,99999,99999,0,1,4,82
1,3,1,2,0,1,143,83
1,1,99999,99999,1,1,182,84
1,3,1,0,0,0,53,85
1,1,99999,99999,0,1,180,86
1,2,3,3,1,1,117,87
1,3,1,1,1,1,165,88
1,2,3,3,0,0,191,89
1,1,99999,99999,1,1,55,90
1,2,3,3,0,1,107,91
1,1,99999,99999,1,1,30,92
1,1,99999,99999,0,1,127,93
1,4,2,2,1,1,149,94
1,4,3,3,1,1,150,95
1,3,1,1,0,1,8,96
1,4,3,3,1,1,42,97
1,2,3,3,0,0,126,98
1,4,2,2,0,1,88,99
1,4,3,3,1,1,78,100
1,3,1,2,0,1,154,101
1,2,3,3,1,1,157,102
1,4,1,1,1,1,89,103
1,1,99999,99999,0,1,140,104
1,2,3,3,0,1,34,105
1,2,3,3,1,1,44,106
1,2,3,3,0,1,51,107
1,1,99999,99999,0,1,54,108
1,2,3,3,1,1,195,109
1,2,3,3,0,0,14,110
1,2,3,3,0,0,67,111
1,1,99999,99999,0,1,102,112
1,3,2,2,1,1,16,113
1,2,3,3,0,1,50,114
1,3,1,1,1,1,27,115
1,4,2,2,1,1,6,116
1,1,99999,99999,1,1,188,117
1,3,1,1,0,1,166,118
1,3,3,3,1,1,197,119
1,3,1,1,0,0,82,120
1,4,3,3,1,1,69,121
1,3,0,1,0,1,190,122
1,1,99999,99999,0,1,168,123
1,2,3,3,0,1,43,124
1,3,0,1,0,1,169,125
1,3,1,1,1,1,36,126
1,2,3,3,1,1,60,127
1,1,99999,99999,1,1,25,128
1,1,99999,99999,1,1,9,129
1,1,99999,99999,1,1,5,130
1,3,1,1,0,1,162,131
1,3,1,1,0,1,91,132
1,2,3,3,1,1,19,133
1,1,99999,99999,1,0,48,134
1,2,3,3,0,1,66,135
1,2,3,3,0,1,177,136
1,3,1,1,1,1,122,137
1,2,3,3,1,1,129,138
1,3,2,3,1,1,133,139
1,1,99999,99999,1,1,17,140
1,4,3,3,0,1,186,141
1,2,3,3,0,1,22,142
1,1,99999,99999,0,0,3,143
1,2,3,3,0,1,29,144
1,4,3,3,0,1,106,145
1,1,99999,99999,1,1,77,146
1,2,3,3,0,1,15,147
1,4,2,2,1,1,7,148
1,1,99999,99999,1,1,148,149
1,4,2,3,0,1,158,150
1,4,3,3,1,1,146,151
1,3,3,2,1,1,100,152
1,3,0,0,0,1,40,153
1,2,3,3,1,1,75,154
1,4,2,2,0,1,132,155
1,3,2,2,1,1,151,156
1,2,3,3,1,1,38,157
1,1,99999,99999,1,1,96,158
1,3,3,3,1,1,12,159
1,3,1,1,0,1,94,160
1,1,99999,99999,0,1,11,161
1,2,3,3,1,1,13,162
1,2,3,3,1,0,183,163
1,1,99999,99999,1,1,35,164
1,1,99999,99999,0,0,31,165
1,3,2,2,1,1,196,166
1,2,3,3,0,1,147,167
1,4,2,1,0,1,178,168
1,2,3,3,1,1,80,169
1,1,99999,99999,0,1,118,170
1,2,3,3,0,1,160,171
1,1,99999,99999,0,0,59,172
1,4,2,2,0,1,63,173
1,1,99999,99999,0,1,108,174
1,4,3,3,1,1,32,175
1,2,3,3,0,1,85,176
1,1,99999,99999,0,0,56,177
1,3,2,1,0,1,95,178
1,1,99999,99999,0,1,28,179
1,2,3,3,1,1,156,180
1,1,99999,99999,1,1,181,181
1,2,3,3,0,1,123,182
1,4,3,3,0,0,39,183
1,3,1,1,0,0,1,184
1,4,3,3,0,1,46,185
1,4,2,2,0,1,45,186
1,3,1,1,1,1,175,187
1,1,99999,99999,1,1,112,188
1,2,3,3,0,1,73,189
1,2,3,3,1,1,90,190
1,1,99999,99999,0,1,163,191
1,2,3,3,0,1,86,192
1,4,1,2,0,1,52,193
1,1,99999,99999,0,1,135,194
1,2,3,3,0,0,26,195
1,4,3,3,0,1,115,196
