subject,condition,studyResp,named,afc,whichItem,trial
1,4,3,0,1,191,1
1,2,3,0,1,152,2
1,2,3,0,0,170,3
1,2,3,0,0,61,4
1,4,3,0,0,47,5
1,4,3,1,1,48,6
1,2,3,0,0,9,7
1,2,3,1,1,5,8
1,1,99999,0,1,68,9
1,4,2,0,0,162,10
1,2,3,0,0,168,11
1,1,99999,0,1,23,12
1,4,1,0,1,111,13
1,2,3,0,1,87,14
1,1,99999,0,1,81,15
1,3,2,0,1,54,16
1,3,2,0,0,200,17
1,4,1,0,0,120,18
1,4,1,0,1,83,19
1,4,2,0,0,93,20
1,4,1,0,0,181,21
1,3,1,0,0,78,22
1,3,1,0,0,159,23
1,3,1,0,0,129,24
1,4,1,1,1,36,25
1,3,1,0,1,15,26
1,2,3,0,1,51,27
1,2,3,0,0,182,28
1,1,99999,0,1,147,29
1,3,NaN,1,1,148,30
1,3,1,0,0,130,31
1,1,99999,0,1,163,32
1,3,1,0,1,127,33
1,4,1,0,0,122,34
1,1,99999,0,0,110,35
1,1,99999,0,1,66,36
1,2,3,1,1,79,37
1,1,99999,1,1,49,38
1,3,2,0,1,92,39
1,2,3,0,1,199,40
1,2,3,0,0,53,41
1,1,99999,1,1,195,42
1,1,99999,0,0,88,43
1,2,3,0,0,117,44
1,2,3,0,0,107,45
1,1,99999,0,0,62,46
1,3,1,0,1,63,47
1,3,1,0,1,34,48
1,3,NaN,0,0,186,49
1,4,2,0,1,125,50
1,1,99999,0,0,160,51
1,4,3,0,0,128,52
1,2,1,0,0,197,53
1,4,2,0,1,142,54
1,2,3,0,0,90,55
1,4,1,0,0,102,56
1,1,99999,0,1,65,57
1,3,1,0,0,24,58
1,1,99999,0,0,58,59
1,2,3,0,1,25,60
1,1,99999,0,0,134,61
1,3,1,1,1,32,62
1,4,2,1,1,196,63
1,4,1,0,1,29,64
1,2,3,0,1,172,65
1,2,3,0,1,13,66
1,4,2,0,1,131,67
1,1,99999,0,1,165,68
1,3,1,0,0,140,69
1,1,99999,0,1,2,70
1,3,0,0,1,82,71
1,2,3,0,1,136,72
1,4,1,0,0,6,73
1,2,3,0,0,132,74
1,2,3,0,0,39,75
1,1,99999,0,0,91,76
1,3,1,0,0,1,77
1,1,99999,1,1,35,78
1,2,3,0,1,143,79
1,3,1,0,1,28,80
1,4,1,0,0,155,81
1,3,3,1,1,14,82
1,3,1,1,1,101,83
1,4,3,0,0,17,84
1,1,99999,0,0,42,85
1,2,3,1,1,175,86
1,1,99999,0,1,74,87
1,1,99999,0,1,161,88
1,2,3,0,0,69,89
1,3,1,0,1,103,90
1,4,3,0,0,121,91
1,2,3,0,0,20,92
1,4,2,0,1,22,93
1,4,3,0,1,113,94
1,3,1,0,0,73,95
1,2,3,1,1,176,96
1,1,99999,0,0,21,97
1,3,1,0,0,167,98
1,1,99999,0,0,4,99
1,1,99999,0,1,104,100
1,3,NaN,0,1,133,101
1,4,1,0,1,144,102
1,4,2,0,1,198,103
1,2,3,0,1,44,104
1,2,3,0,0,100,105
1,2,3,0,1,46,106
1,3,1,0,0,177,107
1,2,3,0,1,31,108
1,3,2,0,1,189,109
1,1,99999,0,0,18,110
1,2,3,1,1,156,111
1,3,3,0,1,64,112
1,1,99999,0,1,37,113
1,3,1,0,1,96,114
1,1,99999,0,1,116,115
1,1,99999,0,1,126,116
1,3,1,0,1,164,117
1,3,1,1,1,8,118
1,3,1,0,1,72,119
1,1,99999,0,0,59,120
1,3,2,0,0,76,121
1,4,2,0,0,190,122
1,4,2,0,1,166,123
1,3,1,0,0,179,124
1,2,3,0,1,151,125
1,1,99999,1,1,3,126
1,2,3,0,1,99,127
1,3,0,0,0,153,128
1,3,2,0,1,30,129
1,4,3,0,1,183,130
1,1,99999,1,1,138,131
1,4,3,0,0,154,132
1,1,99999,0,1,75,133
1,1,99999,0,1,145,134
1,1,99999,0,0,141,135
1,3,2,1,1,60,136
1,3,1,0,0,171,137
1,4,3,0,1,33,138
1,1,99999,1,1,12,139
1,2,3,0,0,180,140
1,4,3,0,1,123,141
1,2,3,0,0,124,142
1,4,1,0,0,184,143
1,4,2,0,1,27,144
1,4,3,0,1,55,145
1,4,2,1,1,89,146
1,1,99999,0,0,56,147
1,1,99999,0,0,86,148
1,4,3,0,1,150,149
1,3,1,1,1,109,150
1,2,3,0,1,40,151
1,4,2,0,1,114,152
1,2,NaN,0,1,146,153
1,3,2,0,1,7,154
1,1,99999,0,0,178,155
1,3,3,1,1,112,156
1,4,2,0,1,174,157
1,3,1,0,0,169,158
1,1,99999,0,1,38,159
1,2,2,0,1,157,160
1,4,3,0,1,173,161
1,2,2,0,1,67,162
1,4,3,0,0,11,163
1,2,3,0,1,105,164
1,2,3,0,1,188,165
1,1,99999,0,1,149,166
1,3,1,0,1,16,167
1,1,99999,0,0,52,168
1,3,1,0,1,106,169
1,3,2,0,1,45,170
1,2,3,0,1,187,171
1,4,2,0,1,77,172
1,4,3,1,1,84,173
1,1,99999,0,1,19,174
1,3,1,0,1,193,175
1,3,3,1,0,119,176
1,4,2,0,0,118,177
1,4,3,0,1,85,178
1,1,99999,0,1,71,179
1,2,3,0,1,115,180
1,1,99999,0,1,70,181
1,3,1,0,0,80,182
1,1,99999,0,1,57,183
1,1,99999,0,1,50,184
1,2,3,0,1,135,185
1,2,3,0,1,95,186
1,1,99999,0,1,139,187
1,1,99999,0,0,94,188
1,4,3,0,1,41,189
1,4,2,0,0,137,190
1,4,2,0,0,158,191
1,2,3,0,0,97,192
1,2,3,0,1,98,193
1,3,3,1,0,192,194
1,3,0,0,0,108,195
1,2,3,1,1,10,196
1,4,3,1,1,43,197
1,4,3,0,0,185,198
1,2,3,0,1,26,199
1,1,99999,0,1,194,200
2,3,2,1,1,79,1
2,2,3,0,1,184,2
2,3,1,0,0,132,3
2,4,3,0,1,188,4
2,4,3,0,0,58,5
2,2,3,0,1,43,6
2,1,99999,1,1,138,7
2,4,3,1,1,74,8
2,3,1,1,1,89,9
2,3,1,0,1,30,10
2,2,3,0,0,183,11
2,4,2,0,1,161,12
2,4,3,1,0,195,13
2,2,3,0,0,135,14
2,3,2,0,1,142,15
2,1,99999,0,1,66,16
2,3,1,0,0,76,17
2,4,2,0,0,62,18
2,3,1,0,0,68,19
2,4,3,1,1,141,20
2,2,3,0,0,120,21
2,3,0,0,1,77,22
2,2,3,0,1,159,23
2,2,3,0,1,191,24
2,1,99999,0,1,150,25
2,2,3,0,1,189,26
2,4,3,0,0,170,27
2,3,0,1,1,27,28
2,2,3,0,0,6,29
2,1,99999,0,1,131,30
2,2,3,1,1,5,31
2,1,99999,0,0,61,32
2,2,3,1,1,19,33
2,2,3,0,1,41,34
2,2,3,1,1,186,35
2,3,0,1,1,114,36
2,3,1,0,1,56,37
2,3,0,0,1,174,38
2,2,NaN,1,1,101,39
2,2,3,0,1,193,40
2,4,3,0,1,143,41
2,3,0,0,1,181,42
2,1,99999,0,0,39,43
2,1,99999,0,1,51,44
2,3,0,0,1,91,45
2,3,0,0,0,2,46
2,1,99999,0,0,10,47
2,1,99999,0,1,59,48
2,1,99999,0,0,80,49
2,2,3,0,1,124,50
2,4,3,0,0,136,51
2,2,3,0,1,28,52
2,4,2,0,1,99,53
2,1,99999,0,1,67,54
2,1,99999,1,1,16,55
2,1,99999,1,0,197,56
2,3,0,0,0,42,57
2,2,3,0,1,93,58
2,3,0,0,1,60,59
2,1,99999,0,0,40,60
2,4,3,1,1,106,61
2,1,99999,0,1,116,62
2,3,2,0,0,140,63
2,2,NaN,1,0,36,64
2,2,3,1,1,125,65
2,1,99999,0,1,126,66
2,4,2,1,1,127,67
2,4,2,0,0,168,68
2,3,2,0,0,90,69
2,4,2,0,1,83,70
2,4,2,0,0,146,71
2,2,NaN,0,1,165,72
2,4,2,0,1,117,73
2,3,0,0,0,9,74
2,2,3,0,1,87,75
2,3,0,0,1,164,76
2,1,99999,0,0,113,77
2,2,3,0,1,17,78
2,1,99999,0,1,33,79
2,1,99999,1,1,104,80
2,1,99999,0,1,103,81
2,2,3,0,1,82,82
2,1,99999,1,1,177,83
2,4,2,1,1,196,84
2,2,3,0,0,167,85
2,4,3,0,0,71,86
2,1,99999,1,0,149,87
2,1,99999,0,1,1,88
2,1,99999,1,1,38,89
2,3,0,1,1,156,90
2,4,3,0,1,75,91
2,3,1,0,1,63,92
2,3,0,0,1,199,93
2,4,3,1,1,129,94
2,3,1,0,0,163,95
2,1,99999,1,1,57,96
2,2,3,0,1,157,97
2,1,99999,0,0,134,98
2,2,3,0,1,180,99
2,2,3,0,1,160,100
2,1,99999,0,1,155,101
2,3,1,0,0,22,102
2,2,3,0,0,187,103
2,2,3,0,1,88,104
2,1,99999,0,0,137,105
2,1,99999,0,1,47,106
2,2,3,1,1,81,107
2,3,0,0,1,153,108
2,4,3,0,1,24,109
2,3,1,1,1,37,110
2,1,99999,1,1,123,111
2,1,99999,0,0,111,112
2,3,1,0,0,185,113
2,4,3,1,1,78,114
2,2,3,0,0,176,115
2,4,3,0,1,31,116
2,2,3,1,1,65,117
2,3,0,0,1,86,118
2,3,0,0,0,162,119
2,1,99999,0,0,110,120
2,3,1,1,1,182,121
2,1,99999,1,1,3,122
2,4,3,1,1,192,123
2,3,2,0,1,85,124
2,4,3,0,1,173,125
2,3,1,1,1,29,126
2,3,0,0,1,154,127
2,4,3,0,1,179,128
2,2,3,0,1,166,129
2,2,3,0,1,194,130
2,1,99999,0,1,49,131
2,3,0,0,1,13,132
2,3,0,0,1,73,133
2,1,99999,1,1,95,134
2,1,99999,0,1,198,135
2,4,2,0,1,4,136
2,3,1,0,0,139,137
2,1,99999,0,1,20,138
2,1,99999,1,1,144,139
2,2,3,0,0,52,140
2,1,99999,0,1,54,141
2,2,3,0,1,94,142
2,2,3,1,1,121,143
2,4,3,1,1,44,144
2,4,3,0,0,92,145
2,2,3,1,1,151,146
2,3,0,0,1,11,147
2,3,0,0,1,8,148
2,2,3,1,1,84,149
2,4,3,1,1,133,150
2,4,3,0,1,178,151
2,3,1,1,1,26,152
2,1,99999,1,1,96,153
2,3,0,0,1,175,154
2,3,1,0,1,64,155
2,4,3,0,1,130,156
2,2,3,1,1,69,157
2,4,3,0,1,98,158
2,4,3,1,1,32,159
2,4,2,0,1,107,160
2,4,2,0,1,34,161
2,2,3,1,1,23,162
2,1,99999,1,1,97,163
2,4,3,0,1,100,164
2,1,99999,0,0,190,165
2,2,3,1,1,35,166
2,4,3,1,0,48,167
2,2,3,1,1,148,168
2,4,2,0,0,102,169
2,3,1,1,1,109,170
2,3,0,0,1,158,171
2,2,3,1,0,53,172
2,1,99999,0,0,14,173
2,2,3,0,0,15,174
2,4,3,0,1,50,175
2,4,3,1,1,25,176
2,1,99999,1,1,122,177
2,4,3,1,1,7,178
2,4,3,1,1,12,179
2,1,99999,0,0,119,180
2,4,3,0,0,145,181
2,1,99999,0,0,18,182
2,1,99999,0,1,45,183
2,2,3,0,0,169,184
2,1,99999,0,0,171,185
2,3,0,0,1,72,186
2,3,0,0,1,70,187
2,4,3,0,0,128,188
2,4,3,1,0,46,189
2,2,3,1,1,112,190
2,4,2,0,0,108,191
2,1,99999,1,1,147,192
2,3,1,0,1,118,193
2,4,3,0,1,172,194
2,3,0,0,0,152,195
2,4,3,1,1,200,196
2,2,3,0,1,21,197
2,3,0,0,1,115,198
2,2,3,0,1,105,199
2,1,99999,0,0,55,200
3,2,3,0,1,6,1
3,4,3,0,1,110,2
3,1,99999,0,1,153,3
3,2,3,0,0,130,4
3,4,3,1,1,25,5
3,1,99999,0,1,56,6
3,4,1,1,1,146,7
3,4,2,0,1,159,8
3,3,2,0,1,86,9
3,3,1,1,1,109,10
3,2,3,0,0,152,11
3,4,2,0,0,40,12
3,3,1,0,1,113,13
3,3,1,0,1,91,14
3,1,99999,1,1,188,15
3,3,0,1,1,165,16
3,4,2,1,1,196,17
3,3,2,1,1,150,18
3,4,2,0,1,85,19
3,2,3,0,0,1,20
3,3,1,0,1,13,21
3,2,3,0,1,39,22
3,1,99999,0,0,167,23
3,3,1,0,0,193,24
3,4,3,1,1,92,25
3,1,99999,1,1,29,26
3,1,99999,0,0,58,27
3,2,3,1,0,18,28
3,2,3,0,0,65,29
3,2,3,0,1,174,30
3,2,3,0,1,160,31
3,3,0,1,1,122,32
3,2,3,1,0,121,33
3,1,99999,0,1,115,34
3,2,3,1,1,3,35
3,1,99999,0,1,180,36
3,4,3,0,1,24,37
3,4,3,1,1,69,38
3,4,3,0,0,9,39
3,1,99999,1,1,156,40
3,1,99999,0,1,161,41
3,4,3,1,1,60,42
3,1,99999,1,1,26,43
3,4,3,1,1,77,44
3,1,99999,1,1,104,45
3,3,1,1,1,34,46
3,2,3,0,1,166,47
3,1,99999,0,0,47,48
3,1,99999,0,1,64,49
3,3,0,0,0,155,50
3,3,1,0,1,67,51
3,2,3,0,1,168,52
3,4,3,0,1,158,53
3,4,3,0,1,116,54
3,3,0,0,1,4,55
3,1,99999,1,1,98,56
3,2,3,1,1,198,57
3,2,3,1,1,78,58
3,4,2,0,1,72,59
3,2,3,0,1,55,60
3,2,3,0,1,118,61
3,3,1,1,1,103,62
3,1,99999,1,1,27,63
3,1,99999,1,1,157,64
3,3,1,1,1,186,65
3,1,99999,0,0,142,66
3,1,99999,1,1,54,67
3,4,2,0,1,184,68
3,1,99999,1,1,19,69
3,1,99999,0,0,42,70
3,4,3,1,1,148,71
3,2,3,1,1,75,72
3,4,3,1,1,172,73
3,3,2,1,1,30,74
3,2,3,0,1,41,75
3,1,99999,0,1,93,76
3,1,99999,1,1,182,77
3,2,3,0,1,95,78
3,1,99999,1,1,177,79
3,3,2,1,1,139,80
3,4,2,1,1,163,81
3,3,0,1,1,71,82
3,2,3,0,1,189,83
3,1,99999,0,0,10,84
3,1,99999,1,1,73,85
3,2,3,1,1,5,86
3,1,99999,0,1,147,87
3,2,3,1,1,131,88
3,2,3,1,1,107,89
3,2,3,0,1,94,90
3,4,3,1,1,61,91
3,4,2,0,1,169,92
3,4,3,1,1,31,93
3,2,3,0,0,127,94
3,1,99999,0,0,53,95
3,1,99999,0,1,11,96
3,2,3,1,1,117,97
3,2,3,1,1,164,98
3,2,3,0,1,149,99
3,3,1,0,1,175,100
3,1,99999,0,1,8,101
3,4,3,1,1,12,102
3,1,99999,1,1,80,103
3,4,3,0,1,179,104
3,3,2,1,1,17,105
3,2,3,1,1,191,106
3,4,2,0,1,52,107
3,2,3,1,1,151,108
3,2,3,0,1,135,109
3,1,99999,1,1,33,110
3,1,99999,1,1,134,111
3,2,3,0,1,83,112
3,3,0,1,1,129,113
3,3,1,0,0,59,114
3,1,99999,1,1,170,115
3,3,1,1,1,84,116
3,3,1,1,1,14,117
3,3,1,0,1,43,118
3,1,99999,0,0,190,119
3,3,1,0,1,154,120
3,4,2,1,1,100,121
3,1,99999,1,1,124,122
3,4,2,0,1,66,123
3,3,1,1,1,79,124
3,4,2,0,0,199,125
3,2,3,0,0,145,126
3,4,3,1,1,187,127
3,4,3,0,1,171,128
3,3,1,0,1,126,129
3,1,99999,0,1,99,130
3,2,3,0,1,51,131
3,3,1,0,1,2,132
3,3,1,0,1,178,133
3,1,99999,1,1,181,134
3,4,2,1,1,194,135
3,4,2,0,1,162,136
3,3,1,0,1,102,137
3,2,3,1,1,89,138
3,4,2,0,1,45,139
3,1,99999,0,1,36,140
3,1,99999,1,1,7,141
3,3,0,1,1,125,142
3,2,3,1,1,50,143
3,1,99999,1,1,90,144
3,2,3,0,1,132,145
3,2,3,0,1,123,146
3,1,99999,0,1,22,147
3,3,1,0,1,49,148
3,2,3,1,1,101,149
3,2,3,0,0,136,150
3,2,3,1,1,192,151
3,3,1,0,1,15,152
3,2,2,0,1,128,153
3,4,2,1,1,21,154
3,4,3,1,1,200,155
3,3,1,1,1,35,156
3,2,3,1,1,28,157
3,4,3,0,0,197,158
3,3,0,0,0,185,159
3,1,99999,1,1,176,160
3,3,1,1,1,81,161
3,3,0,1,1,144,162
3,2,3,0,1,143,163
3,4,1,0,1,105,164
3,1,99999,0,0,108,165
3,3,1,0,1,76,166
3,2,3,0,1,119,167
3,4,3,1,1,133,168
3,1,99999,0,1,63,169
3,2,3,1,1,138,170
3,4,3,1,1,16,171
3,3,1,1,1,62,172
3,1,99999,1,1,68,173
3,1,99999,0,1,120,174
3,3,1,0,0,87,175
3,2,3,0,1,111,176
3,4,3,0,1,106,177
3,4,3,1,1,97,178
3,2,3,1,1,44,179
3,4,3,1,1,96,180
3,3,1,1,1,48,181
3,3,1,0,0,183,182
3,4,2,1,1,57,183
3,4,3,1,1,38,184
3,4,3,1,1,37,185
3,4,2,0,1,46,186
3,2,3,1,1,195,187
3,4,3,0,0,141,188
3,1,99999,0,0,70,189
3,3,1,0,1,137,190
3,3,1,0,1,23,191
3,1,99999,1,1,32,192
3,3,1,1,1,20,193
3,1,99999,0,1,173,194
3,3,2,1,1,74,195
3,3,1,1,1,88,196
3,4,3,1,1,112,197
3,3,0,0,1,82,198
3,4,3,1,1,140,199
3,3,1,1,1,114,200
4,3,1,0,1,101,1
4,2,3,0,1,176,2
4,1,99999,0,1,85,3
4,2,3,0,1,190,4
4,3,1,0,1,24,5
4,1,99999,1,1,74,6
4,1,99999,0,1,62,7
4,4,3,1,1,33,8
4,1,99999,1,1,30,9
4,2,3,0,0,185,10
4,2,3,0,1,153,11
4,1,99999,1,1,89,12
4,1,99999,0,1,137,13
4,4,3,0,0,177,14
4,3,1,0,1,83,15
4,1,99999,0,0,40,16
4,2,3,0,1,188,17
4,3,1,0,1,118,18
4,3,1,0,1,183,19
4,4,2,0,1,36,20
4,2,3,1,1,144,21
4,3,1,1,0,121,22
4,2,3,0,1,28,23
4,4,3,0,0,156,24
4,1,99999,1,1,151,25
4,3,1,0,0,10,26
4,1,99999,0,1,75,27
4,2,3,0,0,76,28
4,4,3,0,1,87,29
4,4,3,1,1,79,30
4,4,3,1,1,59,31
4,4,3,0,1,124,32
4,4,3,0,1,173,33
4,1,99999,0,1,65,34
4,3,3,0,1,93,35
4,2,3,0,1,11,36
4,2,3,1,1,5,37
4,3,1,0,1,6,38
4,1,99999,1,1,37,39
4,4,3,0,0,169,40
4,1,99999,0,0,77,41
4,3,3,0,1,179,42
4,2,3,0,1,193,43
4,4,3,0,1,50,44
4,2,3,0,1,186,45
4,1,99999,0,1,163,46
4,1,99999,1,1,192,47
4,3,1,0,1,127,48
4,2,NaN,0,1,13,49
4,3,1,0,1,199,50
4,4,2,0,0,53,51
4,2,3,0,0,132,52
4,4,3,0,0,94,53
4,1,99999,0,1,26,54
4,3,0,0,0,108,55
4,3,1,0,0,161,56
4,1,99999,0,1,172,57
4,4,2,0,1,17,58
4,2,3,0,1,73,59
4,1,99999,0,0,61,60
4,2,3,0,0,142,61
4,2,3,0,1,171,62
4,1,99999,1,1,170,63
4,2,3,0,0,64,64
4,4,3,1,1,112,65
4,3,1,0,0,141,66
4,3,1,0,1,166,67
4,4,2,0,0,162,68
4,3,1,1,1,25,69
4,2,3,0,1,152,70
4,3,1,0,1,90,71
4,1,99999,0,1,123,72
4,3,2,0,1,14,73
4,3,1,0,1,18,74
4,4,2,0,0,107,75
4,3,1,0,1,165,76
4,2,3,1,1,164,77
4,4,2,0,0,198,78
4,2,3,1,1,69,79
4,2,3,0,0,20,80
4,3,1,1,1,119,81
4,2,3,0,0,135,82
4,2,3,1,1,12,83
4,1,99999,0,1,136,84
4,1,99999,1,1,19,85
4,3,1,0,1,66,86
4,3,1,1,1,154,87
4,3,2,0,1,174,88
4,3,1,0,1,51,89
4,2,3,1,1,31,90
4,2,3,0,1,146,91
4,4,3,1,1,133,92
4,3,1,0,0,70,93
4,2,3,0,0,9,94
4,2,3,0,1,88,95
4,3,1,0,1,178,96
4,1,99999,0,0,2,97
4,2,3,1,0,181,98
4,3,0,0,0,82,99
4,1,99999,0,0,47,100
4,3,1,0,0,100,101
4,2,3,0,0,91,102
4,2,3,1,1,143,103
4,4,3,1,1,131,104
4,4,3,0,0,23,105
4,4,3,1,1,98,106
4,1,99999,0,1,86,107
4,1,99999,0,1,180,108
4,2,3,0,1,168,109
4,1,99999,0,1,22,110
4,1,99999,1,1,78,111
4,2,3,0,0,8,112
4,1,99999,1,1,149,113
4,1,99999,1,0,148,114
4,3,1,0,1,184,115
4,4,3,1,1,96,116
4,3,1,0,1,130,117
4,2,3,1,1,60,118
4,1,99999,0,1,134,119
4,1,99999,1,1,92,120
4,4,3,0,0,182,121
4,1,99999,0,0,80,122
4,3,3,0,1,111,123
4,4,3,0,1,43,124
4,1,99999,0,1,55,125
4,3,1,0,0,39,126
4,1,99999,0,1,120,127
4,4,3,0,0,128,128
4,2,3,0,1,160,129
4,4,2,0,0,167,130
4,4,2,0,1,99,131
4,1,99999,0,1,159,132
4,3,1,0,1,95,133
4,4,3,0,1,41,134
4,1,99999,1,1,157,135
4,2,3,0,0,1,136
4,4,2,1,1,54,137
4,1,99999,1,1,32,138
4,3,1,1,1,138,139
4,1,99999,1,0,48,140
4,4,3,1,1,81,141
4,3,1,1,1,71,142
4,4,3,0,1,114,143
4,4,3,0,1,115,144
4,2,3,1,1,97,145
4,4,3,0,1,38,146
4,1,99999,0,0,15,147
4,2,3,0,1,45,148
4,4,3,0,0,200,149
4,1,99999,0,1,126,150
4,3,0,0,1,67,151
4,4,3,0,1,116,152
4,3,1,0,1,49,153
4,4,2,0,1,196,154
4,1,99999,0,1,194,155
4,4,2,0,0,139,156
4,3,1,0,1,105,157
4,4,3,1,1,103,158
4,3,1,1,1,122,159
4,1,99999,1,0,7,160
4,1,99999,1,0,57,161
4,4,2,0,0,125,162
4,3,1,0,1,34,163
4,2,3,0,0,150,164
4,4,3,1,1,16,165
4,1,99999,0,0,106,166
4,2,3,0,0,21,167
4,4,3,1,1,84,168
4,3,1,1,1,35,169
4,2,3,0,0,63,170
4,1,99999,0,1,197,171
4,4,3,0,0,110,172
4,3,2,0,0,4,173
4,3,3,1,1,109,174
4,4,3,0,1,46,175
4,1,99999,0,0,155,176
4,1,99999,0,0,72,177
4,2,3,0,0,58,178
4,2,3,0,0,195,179
4,2,3,0,1,147,180
4,1,99999,0,1,191,181
4,2,3,0,0,129,182
4,4,3,0,1,68,183
4,3,1,1,1,29,184
4,2,3,1,1,44,185
4,3,1,0,0,42,186
4,4,2,1,1,189,187
4,4,3,1,1,187,188
4,2,3,0,0,52,189
4,2,3,1,1,3,190
4,3,1,1,1,175,191
4,4,3,0,0,117,192
4,3,1,0,0,56,193
4,1,99999,1,0,27,194
4,2,3,0,1,140,195
4,4,3,0,0,104,196
4,2,3,0,1,158,197
4,4,3,0,1,113,198
4,1,99999,0,0,145,199
4,3,1,0,0,102,200
5,1,99999,1,0,7,1
5,1,99999,0,1,94,2
5,3,2,1,1,50,3
