subject,condition,studyResp,studyResp2,studyResp3,named,afc,whichItem,trial
1,4,3,3,3,1,0,36,1
1,2,3,3,3,1,0,156,2
1,3,0,3,0,0,0,13,3
1,1,99999,99999,99999,1,0,48,4
1,1,99999,99999,99999,0,0,128,5
1,2,3,NaN,3,1,0,66,6
1,4,3,3,3,1,0,14,7
1,3,0,0,0,1,0,148,8
1,4,3,3,3,0,1,139,9
1,4,3,3,3,0,1,46,10
1,1,99999,99999,99999,0,0,65,11
1,2,3,3,3,0,0,95,12
1,3,0,0,0,0,0,55,13
1,2,3,3,3,0,0,150,14
1,1,99999,99999,99999,0,0,143,15
1,3,0,3,0,1,1,16,16
1,1,99999,99999,99999,0,0,17,17
1,3,0,0,1,1,1,186,18
1,2,3,3,3,0,0,44,19
1,2,3,3,3,1,0,140,20
1,4,3,3,3,1,0,103,21
1,4,2,2,2,1,0,122,22
1,3,0,1,3,1,0,123,23
1,1,99999,99999,99999,1,0,88,24
1,3,3,3,3,1,0,188,25
1,3,1,1,1,0,0,62,26
1,4,3,3,3,1,0,32,27
1,1,99999,99999,99999,0,0,40,28
1,1,99999,99999,99999,0,0,168,29
1,2,3,3,3,1,0,144,30
1,2,3,3,3,1,0,43,31
1,4,3,3,3,0,0,11,32
1,4,2,3,3,1,0,96,33
1,4,3,3,3,0,0,171,34
1,3,0,0,1,0,0,3,35
1,2,3,3,3,1,0,109,36
1,3,0,0,3,0,1,98,37
1,1,99999,99999,99999,1,0,121,38
1,2,3,3,3,1,0,181,39
1,1,99999,99999,99999,1,0,162,40
1,2,3,3,3,0,0,108,41
1,4,3,3,3,1,0,81,42
1,2,3,3,3,0,0,184,43
1,3,0,1,1,1,0,6,44
1,4,3,3,3,0,0,173,45
1,1,99999,99999,99999,0,1,159,46
1,1,99999,99999,99999,0,0,61,47
1,3,0,2,1,1,0,78,48
1,2,3,3,3,1,0,172,49
1,2,3,3,3,1,0,12,50
1,4,3,3,3,1,0,71,51
1,1,99999,99999,99999,1,0,31,52
1,1,99999,99999,99999,0,0,178,53
1,3,0,0,1,0,0,18,54
1,3,NaN,3,1,0,0,126,55
1,4,2,3,3,0,0,180,56
1,3,0,1,1,0,1,39,57
1,2,3,3,3,0,0,10,58
1,1,99999,99999,99999,0,0,47,59
1,4,3,3,3,1,0,20,60
1,2,3,3,3,1,0,170,61
1,4,3,3,3,1,0,182,62
1,3,1,1,3,1,0,167,63
1,1,99999,99999,99999,1,0,84,64
1,1,99999,99999,99999,0,0,4,65
1,1,99999,99999,99999,0,0,70,66
1,2,3,3,3,1,0,5,67
1,2,3,3,3,0,0,119,68
1,4,3,3,1,1,0,136,69
1,4,3,3,3,0,0,117,70
1,3,0,0,1,1,1,30,71
1,3,0,1,1,0,0,94,72
1,1,99999,99999,99999,0,0,87,73
1,4,3,1,1,0,0,135,74
1,2,3,3,3,0,0,49,75
1,1,99999,99999,99999,0,0,34,76
1,2,3,3,3,1,0,7,77
1,4,3,3,3,0,0,116,78
1,3,3,2,3,1,0,69,79
1,3,0,1,1,1,0,92,80
1,1,99999,99999,99999,1,0,29,81
1,4,3,3,3,1,0,154,82
1,1,99999,99999,99999,0,0,52,83
1,2,3,3,3,0,0,166,84
1,2,3,3,3,1,0,124,85
1,3,1,0,0,0,0,169,86
1,3,0,0,0,1,0,77,87
1,4,3,3,3,1,0,15,88
1,4,2,3,1,0,0,145,89
1,2,3,3,NaN,0,0,100,90
1,4,3,3,3,1,1,176,91
1,2,3,3,3,0,0,129,92
1,1,99999,99999,99999,0,0,86,93
1,3,0,0,0,1,0,21,94
1,3,0,0,0,1,0,63,95
1,1,99999,99999,99999,1,0,26,96
1,1,99999,99999,99999,0,0,127,97
1,3,1,1,1,0,0,80,98
1,3,1,1,1,0,0,54,99
1,2,3,3,3,1,0,35,100
1,2,3,3,3,0,0,72,101
1,1,99999,99999,99999,0,0,24,102
1,4,3,1,1,0,0,101,103
1,4,3,3,3,1,1,131,104
1,1,99999,99999,99999,1,1,138,105
1,4,1,3,3,1,1,75,106
1,3,0,0,0,1,1,164,107
1,3,1,1,1,0,0,50,108
1,2,3,3,3,1,0,38,109
1,2,3,3,3,1,0,89,110
1,1,99999,99999,99999,1,0,27,111
1,4,3,3,3,0,0,174,112
1,1,99999,99999,99999,0,0,185,113
1,2,3,3,3,1,0,114,114
1,4,3,3,3,1,0,190,115
1,1,99999,99999,99999,1,0,74,116
1,4,3,3,3,1,0,189,117
1,3,0,0,0,1,0,192,118
1,3,0,0,1,0,0,110,119
1,2,3,3,3,0,0,42,120
1,2,3,3,3,0,0,51,121
1,1,99999,99999,99999,0,0,58,122
1,2,3,3,NaN,0,0,41,123
1,1,99999,99999,99999,0,0,183,124
1,3,1,1,1,0,0,102,125
1,4,3,3,3,0,0,93,126
1,4,3,3,3,0,0,19,127
1,3,0,3,3,0,0,133,128
1,1,99999,99999,99999,1,0,57,129
1,4,3,3,3,0,0,73,130
1,1,99999,99999,99999,1,0,149,131
1,2,3,3,3,0,0,175,132
1,3,1,0,0,1,1,104,133
1,2,3,3,3,0,0,9,134
1,3,1,3,1,0,1,60,135
1,4,3,3,3,1,0,147,136
1,4,3,3,3,1,1,146,137
1,3,1,0,0,0,0,191,138
1,3,1,1,1,1,1,1,139
