subject,condition,named,afc,whichItem,trial
1,1,1,0,161,1
1,4,1,0,177,2
1,1,1,0,124,3
1,4,0,0,107,4
1,2,0,0,86,5
1,2,0,1,3,6
1,3,0,0,118,7
1,3,1,1,181,8
1,1,0,1,100,9
1,1,0,1,163,10
1,4,1,1,179,11
1,2,1,1,29,12
1,4,0,0,64,13
1,2,0,0,6,14
1,3,0,1,184,15
1,3,0,1,115,16
1,1,1,0,183,17
1,4,1,0,102,18
1,2,0,0,37,19
1,3,0,1,189,20
1,3,0,1,111,21
1,1,0,0,137,22
1,2,0,1,85,23
1,4,0,1,166,24
1,1,0,0,185,25
1,3,0,1,125,26
1,3,0,1,19,27
1,2,1,0,25,28
1,4,0,0,129,29
1,2,1,1,112,30
1,1,0,1,28,31
1,4,0,1,110,32
1,3,1,1,31,33
1,4,0,1,66,34
1,3,0,0,52,35
1,1,1,1,192,36
1,4,0,1,30,37
1,2,0,0,147,38
1,1,0,1,126,39
1,2,0,0,61,40
1,1,0,1,167,41
1,4,1,0,69,42
1,4,0,1,95,43
1,2,0,1,121,44
1,3,0,0,47,45
1,1,0,0,133,46
1,3,1,1,26,47
1,2,0,1,146,48
1,1,0,1,80,49
1,1,1,0,139,50
1,4,0,0,155,51
1,3,1,1,99,52
1,4,1,1,7,53
1,2,0,1,34,54
1,2,0,1,113,55
1,3,1,1,187,56
1,1,0,0,14,57
1,2,0,1,76,58
1,1,1,1,50,59
1,2,1,0,4,60
1,4,0,1,119,61
1,3,1,0,2,62
1,3,0,0,56,63
1,4,0,0,141,64
1,3,0,0,71,65
1,4,0,0,103,66
1,2,0,1,88,67
1,3,1,1,143,68
1,2,0,0,150,69
1,1,1,1,32,70
1,4,0,0,98,71
1,1,0,1,44,72
1,1,1,0,43,73
1,2,0,1,156,74
1,2,0,0,40,75
1,3,0,0,128,76
1,4,1,0,78,77
1,1,1,0,122,78
1,3,0,1,20,79
1,4,1,1,11,80
1,3,0,1,154,81
1,3,1,1,165,82
1,4,0,1,62,83
1,2,0,0,72,84
1,1,1,0,79,85
1,4,0,0,104,86
1,2,0,1,13,87
1,1,0,1,174,88
1,1,1,0,59,89
1,1,1,0,131,90
1,3,0,1,176,91
1,3,0,1,45,92
1,4,1,0,123,93
1,2,0,1,89,94
1,2,1,1,16,95
1,4,0,1,1,96
1,1,0,0,145,97
1,4,1,0,60,98
1,2,1,1,90,99
1,1,0,1,188,100
1,4,1,1,172,101
1,2,0,0,53,102
1,3,0,0,58,103
1,3,0,0,117,104
1,4,1,1,170,105
1,2,1,1,23,106
1,4,0,0,191,107
1,2,0,0,57,108
1,3,0,0,135,109
1,1,0,1,15,110
1,3,1,1,74,111
1,1,0,0,186,112
1,4,1,1,81,113
1,2,1,0,39,114
1,3,1,1,144,115
1,1,0,0,8,116
1,4,1,0,151,117
1,1,0,1,73,118
1,2,0,1,159,119
1,3,0,1,157,120
1,3,1,1,33,121
1,1,1,1,68,122
1,1,0,1,153,123
1,2,0,0,18,124
1,4,1,0,97,125
1,4,1,1,96,126
1,3,1,1,140,127
1,2,1,0,162,128
2,4,1,1,181,1
2,3,0,1,86,2
2,1,0,0,107,3
2,1,1,1,177,4
2,3,0,1,3,5
2,4,0,1,118,6
2,2,1,1,124,7
2,2,1,1,161,8
2,2,0,1,163,9
2,4,0,1,184,10
2,1,0,0,64,11
2,3,0,1,29,12
2,4,0,1,115,13
2,2,0,0,100,14
2,3,1,0,6,15
2,1,1,0,179,16
2,4,0,1,111,17
2,1,1,1,102,18
2,1,1,0,166,19
2,3,0,0,85,20
2,4,1,1,189,21
2,3,1,1,37,22
2,2,0,0,183,23
2,2,1,1,137,24
2,3,1,1,112,25
2,1,0,1,129,26
2,3,1,1,25,27
2,4,0,1,19,28
2,1,0,1,110,29
2,4,1,0,125,30
2,2,0,1,185,31
2,2,0,1,28,32
2,1,1,1,30,33
2,3,0,1,61,34
2,3,1,1,147,35
2,4,1,1,31,36
2,2,1,1,192,37
2,4,0,1,52,38
2,2,0,0,126,39
2,1,0,0,66,40
2,1,0,0,69,41
2,3,1,1,121,42
2,2,1,1,167,43
2,3,1,1,146,44
2,1,1,0,95,45
2,2,1,1,133,46
2,4,0,1,26,47
2,4,0,1,47,48
2,1,0,1,155,49
2,3,0,1,113,50
2,4,0,1,99,51
2,3,1,1,34,52
2,4,0,1,187,53
2,2,1,1,80,54
2,1,1,1,7,55
2,2,1,1,139,56
2,3,0,1,76,57
2,2,1,1,14,58
2,2,1,1,50,59
2,1,0,1,141,60
2,4,0,1,56,61
2,3,0,1,4,62
2,4,1,1,2,63
2,1,0,1,119,64
2,4,0,0,143,65
2,3,1,1,88,66
2,1,0,0,98,67
2,3,0,1,150,68
2,4,0,0,71,69
2,2,1,1,44,70
2,1,0,1,103,71
2,2,1,1,32,72
2,4,0,1,128,73
2,2,1,1,122,74
2,3,0,0,40,75
2,3,1,1,156,76
2,1,1,0,78,77
2,1,0,0,11,78
2,2,1,1,43,79
2,4,0,1,20,80
2,3,1,1,72,81
2,4,0,1,154,82
2,2,0,1,174,83
2,1,1,1,62,84
2,4,1,1,165,85
2,3,1,1,13,86
2,2,1,1,79,87
2,1,1,0,104,88
2,4,0,1,45,89
2,1,0,1,123,90
2,4,1,1,176,91
2,1,1,1,1,92
2,2,1,1,131,93
2,2,0,0,59,94
2,3,1,1,89,95
2,3,1,1,16,96
2,2,1,0,145,97
2,1,1,0,60,98
2,2,0,1,188,99
2,4,0,0,58,100
2,4,0,1,117,101
2,1,0,1,172,102
2,3,0,0,53,103
2,3,0,1,90,104
2,3,1,1,23,105
2,2,0,1,186,106
2,1,0,0,191,107
2,4,0,1,135,108
2,1,0,0,170,109
2,4,1,1,74,110
2,3,1,1,57,111
2,2,1,1,15,112
2,2,0,1,8,113
2,4,1,1,144,114
2,1,1,0,81,115
2,1,1,1,151,116
2,2,0,1,73,117
2,3,0,1,159,118
2,4,1,1,157,119
2,3,0,1,39,120
2,2,0,1,153,121
2,3,0,0,162,122
2,1,1,1,97,123
2,2,1,1,68,124
2,1,1,0,96,125
2,4,1,1,140,126
2,3,0,1,18,127
2,4,0,0,33,128
3,2,0,1,107,1
3,1,0,1,118,2
3,2,0,0,177,3
3,1,1,1,181,4
3,4,0,0,3,5
3,4,0,1,86,6
3,3,0,1,161,7
3,3,1,1,124,8
3,2,1,1,179,9
3,1,0,1,115,10
3,3,1,1,163,11
3,4,1,1,29,12
3,1,1,0,184,13
3,2,1,1,64,14
3,3,1,1,100,15
3,4,1,1,6,16
3,2,1,0,102,17
3,4,1,1,37,18
3,3,1,0,137,19
3,1,1,0,111,20
3,3,0,0,183,21
3,4,1,1,85,22
3,2,0,1,166,23
3,1,1,1,189,24
3,3,1,1,28,25
3,3,0,0,185,26
3,4,1,1,112,27
3,2,0,0,110,28
3,1,0,1,19,29
3,4,1,1,25,30
3,1,1,1,125,31
3,2,1,1,129,32
3,3,1,1,126,33
3,4,1,1,147,34
3,1,1,0,31,35
3,4,1,0,61,36
3,2,1,1,30,37
3,3,1,1,192,38
3,1,0,1,52,39
3,2,0,0,66,40
3,4,1,1,121,41
3,1,0,1,26,42
3,2,1,1,95,43
3,3,0,0,133,44
3,2,1,1,69,45
3,4,1,1,146,46
3,3,1,1,167,47
3,1,0,0,47,48
3,3,1,1,139,49
3,4,1,1,113,50
3,2,1,1,155,51
3,2,0,1,7,52
3,1,1,0,99,53
3,1,0,1,187,54
3,3,0,1,80,55
3,4,1,0,34,56
3,3,1,1,50,57
3,1,0,0,56,58
3,3,0,1,14,59
3,1,1,0,2,60
3,4,1,1,4,61
3,4,1,0,76,62
3,2,0,1,141,63
3,2,0,0,119,64
3,1,0,0,71,65
3,4,0,1,150,66
3,2,1,1,103,67
3,3,1,1,32,68
3,2,0,1,98,69
3,1,1,0,143,70
3,4,0,1,88,71
3,3,1,1,44,72
3,2,0,1,11,73
3,3,1,1,122,74
3,1,1,1,20,75
3,3,1,1,43,76
3,1,0,0,128,77
3,4,0,0,40,78
3,4,0,1,156,79
3,2,1,1,78,80
3,4,1,1,72,81
3,3,1,1,79,82
3,4,0,1,13,83
3,1,0,0,165,84
3,1,0,0,154,85
3,2,0,1,62,86
3,2,1,1,104,87
3,3,0,1,174,88
3,3,0,0,59,89
3,4,1,1,89,90
3,1,0,1,45,91
3,1,1,0,176,92
3,2,0,1,123,93
3,2,1,1,1,94
3,4,0,0,16,95
