subject,condition,studyResp,studyResp2,whichItem
1,1,0,0,161
1,2,1,1,3
1,4,1,8,64
1,2,8,1,29
1,3,1,2,181
1,4,8,8,107
1,4,1,8,177
1,1,4,0,163
1,1,4,0,100
1,4,8,1,179
1,1,0,0,124
1,3,3,2,184
1,2,1,1,6
1,2,1,1,86
1,3,1,1,118
1,3,3,1,115
1,1,0,0,28
1,1,0,0,137
1,2,1,1,37
1,4,8,1,102
1,2,8,1,85
1,4,1,8,166
1,3,1,2,189
1,1,4,1,183
1,2,8,1,25
1,4,8,8,110
1,3,1,8,125
1,4,1,8,129
1,2,8,1,112
1,3,1,8,111
1,3,1,6,19
1,1,4,0,185
1,3,3,1,26
1,1,0,4,126
1,2,8,1,147
1,1,0,0,167
1,3,2,1,52
1,3,2,2,47
1,3,7,7,31
1,4,1,8,66
1,2,1,1,146
1,1,0,6,133
1,4,1,8,95
1,1,0,4,192
1,2,8,1,61
1,4,8,2,69
1,4,1,8,30
1,2,1,1,121
1,2,1,1,4
1,3,7,1,2
1,1,4,0,50
1,4,1,1,7
1,2,8,1,76
1,2,1,1,113
1,1,0,0,80
1,1,0,0,139
1,2,1,1,34
1,1,0,4,14
1,3,1,8,187
1,3,7,8,99
1,4,1,8,119
1,4,8,8,141
1,4,1,8,155
1,3,7,7,56
1,2,1,1,88
1,2,8,1,150
1,3,2,8,20
1,3,2,8,143
1,4,8,1,103
1,1,4,0,32
1,4,8,1,78
1,3,8,8,128
1,4,1,8,98
1,2,1,1,156
1,1,8,0,44
1,4,1,1,11
1,3,7,7,71
1,1,4,4,43
1,2,1,1,40
1,1,0,4,122
1,1,0,0,59
1,1,4,0,79
1,2,1,1,16
1,2,1,1,89
1,2,1,1,13
1,4,1,8,62
1,4,1,8,1
1,1,0,0,131
1,4,8,1,104
1,2,8,1,72
1,3,4,8,165
1,3,4,1,154
1,3,3,3,45
1,4,3,1,123
1,3,6,6,176
1,1,0,0,174
1,2,1,1,57
1,1,0,0,15
1,2,1,8,23
1,4,1,8,60
1,2,1,1,53
1,1,0,4,145
1,3,1,8,58
1,1,0,0,186
1,4,8,8,170
1,1,0,4,188
1,2,8,1,90
1,4,1,8,191
1,3,8,8,117
1,4,1,1,172
1,3,2,8,135
1,3,8,8,74
1,3,1,8,144
1,3,8,8,140
1,1,0,0,68
1,2,8,8,162
1,1,0,0,8
1,2,8,1,18
1,1,0,0,73
1,4,1,8,96
1,4,8,1,151
1,3,1,8,33
1,4,8,8,97
1,2,1,1,39
1,2,1,1,159
1,3,1,1,157
1,1,0,0,153
1,4,8,0,81
2,4,8,1,181
2,4,1,8,115
2,3,8,1,3
2,1,0,0,177
2,1,0,0,64
2,2,8,1,163
2,3,8,2,29
2,3,8,1,86
2,1,4,0,107
2,4,8,1,118
2,2,1,1,124
2,2,8,1,161
2,2,1,8,100
2,3,6,1,6
2,1,0,0,179
2,4,8,1,184
2,1,4,0,102
2,4,8,8,125
2,3,8,1,37
2,4,1,1,189
2,1,4,4,110
2,1,0,0,129
2,3,8,3,112
2,4,8,1,19
2,3,7,1,25
2,1,0,4,166
2,2,8,8,183
2,2,8,1,185
2,3,4,2,85
2,4,8,1,111
2,2,1,8,28
2,2,8,1,137
2,4,8,8,26
2,3,8,2,146
2,2,8,8,126
2,3,3,2,61
2,3,0,3,147
2,3,2,3,121
2,4,1,1,52
2,2,8,1,192
2,4,1,1,31
2,1,4,0,30
2,1,0,0,95
2,2,8,1,133
2,1,4,4,69
2,4,1,8,47
2,2,1,1,167
2,1,4,0,66
2,1,0,0,155
2,4,8,8,56
2,4,1,1,2
2,4,1,1,99
2,3,1,3,34
2,2,1,1,80
