subject,condition,named,afc,whichItem,trial
1,3,0,1,170,1
1,2,0,1,100,2
1,4,0,1,157,3
1,1,0,1,125,4
1,4,0,0,133,5
1,3,0,1,177,6
1,2,0,1,30,7
1,1,0,1,188,8
1,1,1,1,186,9
1,2,1,1,124,10
1,3,0,0,172,11
1,2,1,0,69,12
1,4,1,0,33,13
1,3,0,0,179,14
1,4,1,1,192,15
1,1,0,0,111,16
1,3,1,0,23,17
1,2,1,1,97,18
1,2,1,0,32,19
1,1,1,0,176,20
1,4,0,1,161,21
1,3,0,0,119,22
1,1,0,1,174,23
1,4,1,1,15,24
1,1,0,0,154,25
1,3,0,1,53,26
1,3,1,0,7,27
1,2,0,0,151,28
1,2,1,0,122,29
1,4,0,1,145,30
1,1,0,1,131,31
1,4,0,1,163,32
1,3,0,0,72,33
1,3,1,0,123,34
1,2,1,1,44,35
1,4,1,1,74,36
1,1,0,1,86,37
1,4,0,0,107,38
1,1,1,0,99,39
1,2,0,1,147,40
1,2,0,1,43,41
1,4,1,0,58,42
1,2,0,1,146,43
1,3,1,1,89,44
1,1,0,0,56,45
1,3,0,1,62,46
1,1,0,0,29,47
1,4,1,1,64,48
1,2,0,0,85,49
1,1,0,0,137,50
1,4,0,0,103,51
1,1,0,0,16,52
1,4,1,1,126,53
1,3,0,1,187,54
1,3,0,1,60,55
1,2,1,1,79,56
1,4,1,0,11,57
1,2,1,1,25,58
1,1,0,0,28,59
1,4,1,1,167,60
1,3,1,1,191,61
1,2,1,1,59,62
1,1,0,0,13,63
1,3,0,0,2,64
1,2,0,1,141,65
1,3,1,0,153,66
1,1,0,1,129,67
1,1,0,0,139,68
1,4,1,1,104,69
1,3,1,1,102,70
1,2,1,1,189,71
1,4,0,1,6,72
1,2,0,1,155,73
1,2,1,0,19,74
1,4,0,0,3,75
1,1,0,1,166,76
1,3,0,0,110,77
1,4,0,1,1,78
1,3,1,1,8,79
1,1,0,0,14,80
1,4,1,1,37,81
1,2,0,1,181,82
1,4,1,1,81,83
1,1,0,1,80,84
1,3,0,0,128,85
1,2,0,0,68,86
1,1,0,1,162,87
1,3,0,1,88,88
1,1,0,0,50,89
1,1,0,0,159,90
1,3,0,0,143,91
1,3,0,1,40,92
1,4,1,1,112,93
1,2,0,0,73,94
1,4,1,1,96,95
1,2,0,1,184,96
2,2,0,1,179,1
2,1,0,1,124,2
2,4,1,1,186,3
2,3,1,1,192,4
2,1,0,0,69,5
2,2,0,0,172,6
2,3,0,1,33,7
2,4,0,1,111,8
2,2,1,0,177,9
2,3,1,1,157,10
2,1,0,1,100,11
2,1,0,0,30,12
2,4,0,1,125,13
2,2,0,1,170,14
2,3,0,1,133,15
2,4,0,1,188,16
2,2,1,1,7,17
2,1,1,0,151,18
2,3,1,0,145,19
2,2,0,0,53,20
