subject,condition,studyResp,studyResp2,rt1,rt2,whichItem,list
1,2,4,4,4.13342829304747,7.56684499583207,100,1
1,1,4,4,50.5013021517079,2.53340136888437,186,1
1,3,8,4,4.22506035352126,3.23341778921895,170,1
1,3,7,7,4.05010326043703,5.27517357491888,179,1
1,3,7,4,5.49181944457814,0,177,1
1,1,6,9,4.68344552838244,6.38349213311449,125,1
1,2,4,4,5.2917930635158,2.6583895215299,69,1
1,2,8,8,5.89181093242951,3.90845607803203,124,1
1,4,4,4,2.92510393960401,0,157,1
1,1,4,9,2.97506291931495,2.78341057500802,188,1
1,4,4,4,3.05007639667019,4.23345189751126,33,1
1,1,9,9,0,2.25833736290224,111,1
1,4,4,4,9.07523442641832,2.75006897118874,133,1
1,4,8,4,7.40024654543959,2.07504879310727,192,1
1,2,8,8,4.15010090614669,2.57507927902043,30,1
1,3,4,4,5.00843078340404,6.95851225079969,172,1
1,1,9,4,2.85015867906623,4.34177407762036,174,2
1,3,7,7,2.45835257600993,0,7,2
1,4,4,4,3.51675380882807,3.53341434826143,145,2
1,1,4,9,6.63349379319698,9.47522742394358,131,2
1,2,8,7,4.60846797050908,2.85840413044207,32,2
1,4,4,4,0,5.58352002338506,15,2
1,2,8,7,4.52511094254442,3.28340997127816,97,2
1,4,4,4,2.93338319798931,1.7917339024134,163,2
1,2,4,4,2.9334082507994,0,122,2
1,3,4,4,0,2.04170779278502,23,2
1,3,7,4,5.1918301298283,3.30007413262501,53,2
1,4,8,4,0,0,161,2
1,2,4,8,2.34175445768051,3.93343390757218,151,2
1,1,9,4,3.43347103428096,5.88350662146695,176,2
1,3,4,4,2.96677732234821,4.13343282067217,119,2
1,1,9,4,5.51686700014398,2.73341114842333,154,2
1,1,9,4,0,2.36671447870322,86,3
1,1,9,9,6.47519271192141,7.25017431448214,29,3
1,3,4,4,3.19174742465839,3.5084223318845,123,3
1,2,4,4,3.41675314470194,0,43,3
1,2,8,8,18.2254479201511,3.80009737471119,146,3
1,4,4,4,4.63346813665703,2.90007509849966,64,3
1,3,4,4,4.75847198511474,2.56675444287248,72,3
1,2,8,8,2.2167436669115,4.62515869410709,147,3
1,3,7,4,2.69174138782546,4.71675030747429,62,3
1,1,4,9,5.38347613532096,2.08337362948805,99,3
1,4,4,8,5.13349892455153,2.9917439839337,107,3
1,1,9,4,6.60851988755167,8.23353762086481,56,3
1,4,8,8,3.40008415398188,2.74174081441015,58,3
1,4,8,8,0,2.71676207939163,74,3
1,2,8,8,3.04176484118216,0,44,3
1,3,4,4,0,0,89,3
1,3,4,4,3.25008195033297,4.87511960556731,2,4
1,1,4,9,3.36675069993362,3.01674626278691,13,4
1,2,8,8,3.31673316285014,3.05843141721562,79,4
1,3,4,4,0,0,187,4
1,1,9,4,5.87513590487652,2.64173381170258,137,4
1,3,8,4,1.93340553436428,4.92511118389666,191,4
1,2,4,4,5.03353599086404,11.8169661858119,85,4
1,4,4,4,3.7417866946198,4.34177226666361,11,4
1,1,9,9,3.71676238114014,2.48336058971472,28,4
1,2,4,4,4.81682009366341,2.29170281230472,59,4
1,4,4,4,7.04184301872738,3.35008744406514,167,4
1,1,4,9,1.95838276017457,6.03348467755131,16,4
1,3,4,4,7.15021741762757,4.32506645075046,60,4
1,4,4,4,3.22508842498064,2.28339608665556,103,4
1,4,4,8,2.75841101258993,0,126,4
1,2,8,8,4.41675646509975,2.20838592969812,25,4
1,4,0,8,0,2.15000431635417,6,5
1,2,4,4,0,5.5751378366258,19,5
1,4,4,4,6.23348087444901,8.19182348926552,1,5
1,1,9,9,4.43347405269742,2.25004301266745,139,5
1,4,8,4,3.82505135866813,2.85842133569531,3,5
1,3,4,4,1.95841867942363,2.30006719031371,110,5
1,3,4,4,7.85860123438761,3.26674520620145,153,5
1,2,8,8,5.48346532951109,1.79171277326532,189,5
1,3,4,4,4.40837367484346,3.8917677688878,102,5
1,4,4,4,1.75004663481377,4.80847986321896,104,5
1,3,4,4,2.55004862695932,0,8,5
1,2,4,8,0,0,141,5
1,2,4,4,3.10841001663357,0,155,5
1,1,4,4,2.58339958800934,7.35854841163382,166,5
1,1,9,9,3.8334335454274,2.76676210947335,129,5
1,1,9,4,2.61673183459789,2.06670976988971,14,5
1,3,4,4,3.216751514934,4.66676265280694,143,6
1,4,8,4,0,2.36672745784745,81,6
1,2,8,8,2.70835695252754,3.90843193046749,68,6
1,2,8,8,3.03340831119567,7.71685927291401,73,6
1,3,4,4,3.63342829304747,3.03339412459172,128,6
1,3,4,8,3.31675610295497,4.20015134429559,40,6
1,2,8,8,1.60837862477638,3.99176601856016,181,6
1,4,4,4,2.23336375900544,2.28339669038542,112,6
1,2,4,4,5.00010202312842,6.54182400251739,184,6
1,4,8,8,0,2.9167413727846,96,6
1,1,9,9,2.65842393157072,0,162,6
1,1,9,4,4.70845927740447,3.24174322909676,50,6
1,1,9,4,2.33340004063211,2.52509796316735,80,6
1,1,4,4,3.44172644661739,2.22505612764508,159,6
1,4,4,4,2.76675516716205,4.10843989928253,37,6
1,3,4,4,3.66667662747204,2.22505220375024,88,6
2,3,8,8,7.88352925982326,0,33,1
2,4,8,8,8.91689018160105,2.90838272986002,188,1
2,4,8,8,8.82522371131927,0,111,1
2,1,9,4,0,0,124,1
2,3,8,8,9.70858967350796,0,192,1
2,2,8,8,5.20012840419076,2.67506726575084,179,1
2,3,1,8,10.5419205923099,3.38340097642504,133,1
2,4,1,8,5.10844110650942,2.45839785225689,186,1
2,1,9,4,0,3.5000814977102,100,1
2,2,1,1,10.7169809155166,4.35011340258643,177,1
2,1,9,4,0,2.94173278543167,69,1
2,2,1,1,7.2918824092485,2.55842628609389,172,1
2,2,1,1,3.64176761824638,2.75007621548139,170,1
2,1,1,9,3.47509219800122,2.46671001147479,30,1
2,3,8,8,12.6503215534613,2.42505866312422,157,1
2,4,7,7,6.51683923043311,2.50839818431996,125,1
2,3,8,8,4.00009870273061,0,145,2
2,3,8,8,2.62506210431457,4.10010661114939,163,2
2,1,9,4,2.25005870847963,0,32,2
2,1,4,4,6.04182309680618,0,151,2
2,4,1,1,2.45839181542397,1.2250935563352,131,2
2,1,4,4,2.70003060693853,2.25844119698741,122,2
2,2,8,8,6.23350290884264,1.90838574850932,23,2
2,2,8,8,3.5667755715549,2.85841922275722,7,2
2,4,7,7,6.68349533271976,2.65006860904396,174,2
2,2,8,8,3.65840944321826,1.75003788131289,53,2
2,3,7,8,4.67512733256444,2.7834069528617,15,2
2,4,1,8,3.01676859916188,2.4000630248338,176,2
2,4,1,1,2.72507182345726,1.43335059890524,154,2
2,3,1,8,0,2.5167429423891,161,2
2,2,1,1,3.75009010033682,1.92505021183752,119,2
2,1,4,9,5.67514997092076,2.10838979319669,97,2
2,2,8,8,3.55010839202441,3.15841065044515,123,3
2,4,8,8,5.58347384119406,2.49173160805367,56,3
2,2,8,8,0,2.32505769724958,62,3
2,3,1,8,3.26675607264042,3.48342126025818,64,3
2,1,4,9,3.42509096045978,2.95007693977095,43,3
2,1,4,9,3.25841493648477,2.8750824786257,146,3
2,4,8,8,3.16674363682978,1.59177573770285,29,3
2,2,8,8,2.64170242007822,2.42506771860644,72,3
2,3,8,8,1.90843102475628,3.59175913641229,107,3
2,1,9,4,2.91674167476594,6.23349928669631,44,3
2,1,9,4,1.87504806858487,3.91676642582752,147,3
2,2,1,1,5.15013320348226,1.95838336390443,89,3
2,3,8,8,3.48338383180089,1.79171820636839,58,3
2,3,8,8,7.09179596113972,2.5750210233964,74,3
2,4,8,8,6.30848861648701,0,86,3
2,4,1,1,1.75842851959169,2.32507097860798,99,3
2,1,9,9,5.72512857010588,3.0334098204039,25,4
2,4,1,1,4.0751263666898,1.67506545479409,28,4
2,1,9,9,1.5000670091249,4.15010392479599,59,4
2,1,9,9,1.58343037590384,3.07496457872912,79,4
2,1,9,4,3.45012282021344,3.6250953071285,85,4
2,3,8,8,1.55837527429685,6.50848300219513,126,4
2,3,1,1,2.6917416898068,0.908324776217341,103,4
2,4,8,8,2.1834370768629,2.21675332589075,16,4
2,3,8,8,2.28340001055039,1.59163145674393,167,4
2,4,1,1,2.05836199317127,1.56667203945108,13,4
2,2,1,1,2.14176278864034,3.06675082049333,2,4
2,4,8,8,5.933479787549,2.36676579201594,137,4
2,2,8,8,4.34177377563901,0,60,4
2,2,8,8,1.75006263237447,7.19186484185047,187,4
2,3,1,1,5.03346445388161,0,11,4
2,2,1,1,0,0,191,4
2,3,1,1,4.53344392869622,2.67506364360452,104,5
2,2,1,1,3.25841523846611,2.11672941991128,8,5
2,2,1,1,2.56674780207686,0,110,5
2,4,8,8,7.06683865678497,4.46678154822439,166,5
2,2,8,8,2.96673627174459,3.59176336228848,153,5
2,4,1,1,1.4833738708403,0,139,5
2,1,4,4,2.6167623209767,2.29172213049605,141,5
2,2,1,1,3.00007666810416,5.03352029505186,102,5
2,3,8,8,3.5917977723293,0,6,5
2,3,8,8,0,2.43339708261192,3,5
2,4,8,8,0,1.38337381067686,14,5
2,4,1,1,3.04174371203408,2.56671309005469,129,5
2,1,4,9,3.0834524105303,2.10840096138418,19,5
2,3,1,1,5.97513204137795,2.46673596999608,1,5
2,1,9,9,3.07508773077279,3.81675972486846,155,5
2,1,4,9,3.16674786270596,10.8586202503648,189,5
2,3,1,8,2.15006589237601,1.94171648588963,37,6
2,3,8,8,3.61675658565946,2.03338838974014,96,6
2,1,9,4,2.02510128356516,1.7500472383108,68,6
2,2,8,8,1.96673989389092,2.45005611260422,40,6
2,4,7,7,0,2.57506841281429,159,6
2,1,9,9,0,0,181,6
2,2,1,1,2.46669854130596,1.92504689143971,88,6
2,4,1,1,2.76673464174382,3.30839836527593,50,6
2,1,9,9,1.85005061910488,0,184,6
2,3,8,8,1.4084014443215,3.15842091315426,81,6
2,1,4,4,1.70005052862689,1.4500389075838,73,6
2,3,1,1,2.433429681696,2.40004068845883,112,6
2,4,1,1,1.59173680003732,2.5833947584033,162,6
2,2,8,8,1.50004557846114,1.35001319041476,143,6
2,4,7,8,2.04177480190992,2.75842429371551,80,6
2,2,2,2,1.4750363570638,5.27511743200012,128,6
3,2,2,0,13.4012028699799,0,125,1
